ledger0_identity	mvdm_host_subtree	zero_identity	membership_origin	source_root	source_path	source_sha256	source_line	symbol	linkage	inbound_evidence	body_parse_result	condition_context	condition_evidence	legality	reason	ledger1_disposition	replacement_owner
"MVDM-HOST-ZERO1-000476"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|744"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"744"	"host_com_read_char"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000477"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|772"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"772"	"host_com_fifo_char_read"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000478"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|779"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"779"	"host_com_read"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000479"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|851"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"851"	"host_com_char_read"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000480"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|868"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"868"	"MapHostToBaseError"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000481"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|886"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"886"	"host_com_write"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000482"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|924"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"924"	"SendDataToDriver"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifndef PROD | #endif"	"structurally-valid-conditional-context-recorded"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000483"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|982"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"982"	"SendXOFFIoctlToDriver"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000484"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1028"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1028"	"host_com_ioctl"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000485"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1298"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1298"	"host_com_reset"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000486"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1320"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1320"	"host_setup_aflush"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000487"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1332"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1332"	"GetCharsFromDriver"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000488"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1411"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1411"	"PollCommsThread"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000489"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1428"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1428"	"nt_poll_comms"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000490"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1552"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1552"	"WaitForAllXOFFsToComplete"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000491"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1578"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1578"	"RemoveCompletedXOFFs"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000492"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1602"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1602"	"host_com_lock"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000493"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1615"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1615"	"host_com_unlock"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000494"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1649"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1649"	"host_com_heart_beat"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000495"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1719"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1719"	"FlushTXBuffer"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifndef PROD | #endif | #ifndef PROD | #endif | #ifndef PROD | #endif"	"structurally-valid-conditional-context-recorded"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000496"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1806"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1806"	"ScaleTXThreshold"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000497"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1894"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1894"	"host_com_EOI_hook"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000498"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1929"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1929"	"host_com_poll"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000499"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|1989"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"1989"	"host_com_da_int_change"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000500"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|2009"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"2009"	"GetCharacterTypeInBuffer"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000501"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|2059"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"2059"	"GetCharFromRXBuffer"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000502"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|2139"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"2139"	"EmptyRXBuffer"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000503"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_com.c|56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32|2172"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"2172"	"host_com_state"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-host-provider"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"
"MVDM-HOST-ZERO1-000504"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_cpu.c|3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f|72"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_cpu.c"	"3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f"	"72"	"host_start_cpu"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-overlay-provider"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"
"MVDM-HOST-ZERO1-000505"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_cpu.c|3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f|82"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_cpu.c"	"3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f"	"82"	"host_simulate"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifdef _ALPHA_ | #endif"	"structurally-valid-conditional-context-recorded"	""	"retain-source-shaped-overlay-provider"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"
"MVDM-HOST-ZERO1-000506"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_cpu.c|3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f|112"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_cpu.c"	"3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f"	"112"	"host_set_hw_int"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-overlay-provider"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"
"MVDM-HOST-ZERO1-000507"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_cpu.c|3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f|124"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_cpu.c"	"3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f"	"124"	"host_clear_hw_int"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifndef CCPU | #ifdef CPU_40_STYLE | #else | #endif /* CPU_40_STYLE */ | #endif /* not CCPU */"	"structurally-valid-conditional-context-recorded"	""	"retain-source-shaped-overlay-provider"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"
"MVDM-HOST-ZERO1-000508"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_cpu.c|3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f|142"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_cpu.c"	"3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f"	"142"	"host_cpu_init"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-overlay-provider"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"
"MVDM-HOST-ZERO1-000509"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_cpu.c|3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f|147"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_cpu.c"	"3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f"	"147"	"host_cpu_init"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-overlay-provider"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"
"MVDM-HOST-ZERO1-000510"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_cpu.c|3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f|157"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_cpu.c"	"3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f"	"157"	"setSTATUS"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-overlay-provider"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"
"MVDM-HOST-ZERO1-000511"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_cpu.c|3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f|178"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_cpu.c"	"3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f"	"178"	"EmulatorEndIretHook"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifndef PROD | #endif  /* PROD */"	"structurally-valid-conditional-context-recorded"	""	"retain-source-shaped-overlay-provider"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"
"MVDM-HOST-ZERO1-000512"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_cpu.c|3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f|198"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_cpu.c"	"3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f"	"198"	"host_cpu_reset"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-overlay-provider"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"
"MVDM-HOST-ZERO1-000513"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_cpu.c|3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f|203"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/nt_cpu.c"	"3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f"	"203"	"host_cpu_interrupt"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-source-shaped-overlay-provider"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"
