signature_gate_id	one_ledger1_identity	caller_physical_identity	callee_spelling	selected_definition_identity	selected_definition_path	source_class	planning_disposition	proposed_owner	next_action
"MVDM-HOST-ONE1-SIGNATURE-000056"	"MVDM-HOST-ONE1-000773"	"MVDM-HOST-ONE1-RESOLUTION-000675"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000057"	"MVDM-HOST-ONE1-000775"	"MVDM-HOST-ONE1-RESOLUTION-000677"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000058"	"MVDM-HOST-ONE1-000777"	"MVDM-HOST-ONE1-RESOLUTION-000679"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000059"	"MVDM-HOST-ONE1-000779"	"MVDM-HOST-ONE1-RESOLUTION-000681"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000060"	"MVDM-HOST-ONE1-000781"	"MVDM-HOST-ONE1-RESOLUTION-000683"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000061"	"MVDM-HOST-ONE1-000783"	"MVDM-HOST-ONE1-RESOLUTION-000685"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000062"	"MVDM-HOST-ONE1-000787"	"MVDM-HOST-ONE1-RESOLUTION-000689"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000063"	"MVDM-HOST-ONE1-000789"	"MVDM-HOST-ONE1-RESOLUTION-000691"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000064"	"MVDM-HOST-ONE1-000791"	"MVDM-HOST-ONE1-RESOLUTION-000693"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000065"	"MVDM-HOST-ONE1-000793"	"MVDM-HOST-ONE1-RESOLUTION-000695"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000066"	"MVDM-HOST-ONE1-000796"	"MVDM-HOST-ONE1-RESOLUTION-000698"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000067"	"MVDM-HOST-ONE1-000799"	"MVDM-HOST-ONE1-RESOLUTION-000701"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000068"	"MVDM-HOST-ONE1-000802"	"MVDM-HOST-ONE1-RESOLUTION-000704"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000069"	"MVDM-HOST-ONE1-000805"	"MVDM-HOST-ONE1-RESOLUTION-000707"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000070"	"MVDM-HOST-ONE1-000819"	"MVDM-HOST-ONE1-RESOLUTION-000721"	"GetVolumeInformationOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|847|GetVolumeInformationOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000071"	"MVDM-HOST-ONE1-000822"	"MVDM-HOST-ONE1-RESOLUTION-000724"	"GetDiskFreeSpaceOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|797|GetDiskFreeSpaceOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000072"	"MVDM-HOST-ONE1-000823"	"MVDM-HOST-ONE1-RESOLUTION-000725"	"GetDriveTypeOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|756|GetDriveTypeOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000073"	"MVDM-HOST-ONE1-000828"	"MVDM-HOST-ONE1-RESOLUTION-000730"	"nt_floppy_close"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|878|nt_floppy_close"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000074"	"MVDM-HOST-ONE1-000829"	"MVDM-HOST-ONE1-RESOLUTION-000731"	"nt_fdisk_close"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|469|nt_fdisk_close"	"base/mvdm/softpc.new/host/src/nt_fdisk.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000075"	"MVDM-HOST-ONE1-000836"	"MVDM-HOST-ONE1-RESOLUTION-000738"	"nt_fdisk_read"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|393|nt_fdisk_read"	"base/mvdm/softpc.new/host/src/nt_fdisk.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000076"	"MVDM-HOST-ONE1-000837"	"MVDM-HOST-ONE1-RESOLUTION-000739"	"nt_floppy_read"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|711|nt_floppy_read"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000077"	"MVDM-HOST-ONE1-000839"	"MVDM-HOST-ONE1-RESOLUTION-000741"	"nt_fdisk_write"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|413|nt_fdisk_write"	"base/mvdm/softpc.new/host/src/nt_fdisk.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000078"	"MVDM-HOST-ONE1-000840"	"MVDM-HOST-ONE1-RESOLUTION-000742"	"nt_fdisk_close"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|469|nt_fdisk_close"	"base/mvdm/softpc.new/host/src/nt_fdisk.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000079"	"MVDM-HOST-ONE1-000841"	"MVDM-HOST-ONE1-RESOLUTION-000743"	"nt_floppy_write"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|726|nt_floppy_write"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000080"	"MVDM-HOST-ONE1-000842"	"MVDM-HOST-ONE1-RESOLUTION-000744"	"nt_floppy_close"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|878|nt_floppy_close"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000081"	"MVDM-HOST-ONE1-000872"	"MVDM-HOST-ONE1-RESOLUTION-000774"	"CreateFileOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|59|CreateFileOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000082"	"MVDM-HOST-ONE1-000879"	"MVDM-HOST-ONE1-RESOLUTION-000779"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000083"	"MVDM-HOST-ONE1-000881"	"MVDM-HOST-ONE1-RESOLUTION-000781"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000084"	"MVDM-HOST-ONE1-000884"	"MVDM-HOST-ONE1-RESOLUTION-000784"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000085"	"MVDM-HOST-ONE1-000886"	"MVDM-HOST-ONE1-RESOLUTION-000786"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000086"	"MVDM-HOST-ONE1-000888"	"MVDM-HOST-ONE1-RESOLUTION-000788"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000087"	"MVDM-HOST-ONE1-000895"	"MVDM-HOST-ONE1-RESOLUTION-000795"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000088"	"MVDM-HOST-ONE1-000898"	"MVDM-HOST-ONE1-RESOLUTION-000798"	"GetFullPathNameOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|494|GetFullPathNameOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000089"	"MVDM-HOST-ONE1-000902"	"MVDM-HOST-ONE1-RESOLUTION-000802"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000090"	"MVDM-HOST-ONE1-000903"	"MVDM-HOST-ONE1-RESOLUTION-000803"	"HostFloppyReset"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|857|HostFloppyReset"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000091"	"MVDM-HOST-ONE1-000904"	"MVDM-HOST-ONE1-RESOLUTION-000804"	"HostFdiskReset"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|589|HostFdiskReset"	"base/mvdm/softpc.new/host/src/nt_fdisk.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000092"	"MVDM-HOST-ONE1-000907"	"MVDM-HOST-ONE1-RESOLUTION-000806"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000093"	"MVDM-HOST-ONE1-001002"	"MVDM-HOST-ONE1-RESOLUTION-000900"	"setSS_BASE_LIMIT_AR"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_aorc.c|7816128fbd968703f2f7b478b0992902f522f9c6853ca166eb69a904cd965061|546|setSS_BASE_LIMIT_AR"	"base/mvdm/softpc.new/host/src/nt_aorc.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000094"	"MVDM-HOST-ONE1-001003"	"MVDM-HOST-ONE1-RESOLUTION-000901"	"getSS_BASE"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_aorc.c|7816128fbd968703f2f7b478b0992902f522f9c6853ca166eb69a904cd965061|534|getSS_BASE"	"base/mvdm/softpc.new/host/src/nt_aorc.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000095"	"MVDM-HOST-ONE1-001004"	"MVDM-HOST-ONE1-RESOLUTION-000902"	"getSS_AR"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_aorc.c|7816128fbd968703f2f7b478b0992902f522f9c6853ca166eb69a904cd965061|540|getSS_AR"	"base/mvdm/softpc.new/host/src/nt_aorc.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000096"	"MVDM-HOST-ONE1-001040"	"MVDM-HOST-ONE1-RESOLUTION-000937"	"LocalAlloc"	"O:\repos.external\OpenNT|base/win32/client/lmem.c|8eda46f74c7591746be70467959400fab803285cacdc0e466a2b02a191a969a3|39|LocalAlloc"	"base/win32/client/lmem.c"	"baseclient-candidate"	"OpenNT BaseClient package candidate"	"opennt-host / BaseClient"	"inspect only the reached client source closure through public Win32 or named BaseSrv boundary"
"MVDM-HOST-ONE1-SIGNATURE-000097"	"MVDM-HOST-ONE1-001073"	"MVDM-HOST-ONE1-RESOLUTION-000970"	"GetFaxDataMapName"	"O:\repos.external\OpenNT|base/mvdm/inc/wowfax.h|97c6c40dc2d0565a21dc1be4112fe24f138b10ddbb55fbd29e55da972a2a2c84|284|GetFaxDataMapName"	"base/mvdm/inc/wowfax.h"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000098"	"MVDM-HOST-ONE1-001094"	"MVDM-HOST-ONE1-RESOLUTION-000991"	"LocalAlloc"	"O:\repos.external\OpenNT|base/win32/client/lmem.c|8eda46f74c7591746be70467959400fab803285cacdc0e466a2b02a191a969a3|39|LocalAlloc"	"base/win32/client/lmem.c"	"baseclient-candidate"	"OpenNT BaseClient package candidate"	"opennt-host / BaseClient"	"inspect only the reached client source closure through public Win32 or named BaseSrv boundary"
"MVDM-HOST-ONE1-SIGNATURE-000099"	"MVDM-HOST-ONE1-001099"	"MVDM-HOST-ONE1-RESOLUTION-000996"	"LocalAlloc"	"O:\repos.external\OpenNT|base/win32/client/lmem.c|8eda46f74c7591746be70467959400fab803285cacdc0e466a2b02a191a969a3|39|LocalAlloc"	"base/win32/client/lmem.c"	"baseclient-candidate"	"OpenNT BaseClient package candidate"	"opennt-host / BaseClient"	"inspect only the reached client source closure through public Win32 or named BaseSrv boundary"
"MVDM-HOST-ONE1-SIGNATURE-000100"	"MVDM-HOST-ONE1-001352"	"MVDM-HOST-ONE1-RESOLUTION-001208"	"com_int_data"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|2745|com_int_data"	"base/mvdm/softpc.new/base/comms/com.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000101"	"MVDM-HOST-ONE1-001365"	"MVDM-HOST-ONE1-RESOLUTION-001221"	"SyncBaseLineSettings"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|2698|SyncBaseLineSettings"	"base/mvdm/softpc.new/base/comms/com.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000102"	"MVDM-HOST-ONE1-001380"	"MVDM-HOST-ONE1-RESOLUTION-001236"	"setup_RTSDTR"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|2715|setup_RTSDTR"	"base/mvdm/softpc.new/base/comms/com.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000103"	"MVDM-HOST-ONE1-001403"	"MVDM-HOST-ONE1-RESOLUTION-001259"	"com_lsr_change"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|1692|com_lsr_change"	"base/mvdm/softpc.new/base/comms/com.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000104"	"MVDM-HOST-ONE1-001409"	"MVDM-HOST-ONE1-RESOLUTION-001265"	"tx_holding_register_empty"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|1874|tx_holding_register_empty"	"base/mvdm/softpc.new/base/comms/com.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000105"	"MVDM-HOST-ONE1-001410"	"MVDM-HOST-ONE1-RESOLUTION-001266"	"tx_shift_register_empty"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|1869|tx_shift_register_empty"	"base/mvdm/softpc.new/base/comms/com.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000106"	"MVDM-HOST-ONE1-001417"	"MVDM-HOST-ONE1-RESOLUTION-001273"	"tx_shift_register_empty"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|1869|tx_shift_register_empty"	"base/mvdm/softpc.new/base/comms/com.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
