"include_spelling"	"occurrences"	"caller_count"	"caller_paths"	"upstream_header_paths"	"upstream_package_roots"	"stage1_state"	"next_stage"	"first_hop_owner"	"first_hop_kind"
"chkmallc.h"	"1"	"1"	"softpc.new/host/src/stubs.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"ckmalloc.h"	"13"	"12"	"softpc.new/base/ccpu386/ccpusas4.c;softpc.new/base/ccpu386/fpu.c;softpc.new/base/comms/com.c;softpc.new/base/keymouse/keyba.c;softpc.new/base/system/rom.c;softpc.new/base/video/cga.c;softpc.new/host/src/config.c;softpc.new/host/src/nt_error.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_fulsc.c;softpc.new/host/src/nt_graph.c;softpc.new/host/src/sim32.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"clc.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/clc.c"	"admin/netui/common/src/blt/test/dead/clc.h"	"admin/netui/common"	"selected-mvdm-header; no external package edge"	"expand owning package/build boundary"	"mvdm selected union"	"internal-or-selected-input"
"cld.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/cld.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"cli.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/cli.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"clts.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/clts.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"cmc.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/cmc.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"cmd.h"	"11"	"11"	"dos/command/cmd.c;dos/command/cmdconf.c;dos/command/cmddata.c;dos/command/cmddisp.c;dos/command/cmdenv.c;dos/command/cmdexec.c;dos/command/cmdexit.c;dos/command/cmdkeyb.c;dos/command/cmdmisc.c;dos/command/cmdpif.c;dos/command/cmdredir.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"cmdkeyb.h"	"1"	"1"	"dos/command/cmdkeyb.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"cmdsvc.h"	"13"	"13"	"dos/command/cmd.c;dos/command/cmdconf.c;dos/command/cmddisp.c;dos/command/cmdenv.c;dos/command/cmdexec.c;dos/command/cmdexit.c;dos/command/cmdkeyb.c;dos/command/cmdmisc.c;dos/command/cmdpif.c;dos/command/cmdredir.c;v86/scaffold/i386/fakebop.c;v86/scaffold/i386/fakevid.c;v86/scaffold/i386/softpc.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"cmos.h"	"14"	"14"	"softpc.new/base/bios/cmos_bis.c;softpc.new/base/bios/reset.c;softpc.new/base/bios/rtc_bios.c;softpc.new/base/bios/tape_io.c;softpc.new/base/debug/yoda.c;softpc.new/base/disks/diskbios.c;softpc.new/base/disks/floppy.c;softpc.new/base/support/main.c;softpc.new/base/support/terminat.c;softpc.new/base/support/time_day.c;softpc.new/base/system/cmos.c;softpc.new/base/system/cmosnt.c;softpc.new/base/system/timestrb.c;softpc.new/host/src/nt_rflop.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"cmosbios.h"	"6"	"6"	"softpc.new/base/bios/cmos_bis.c;softpc.new/base/bios/tape_io.c;softpc.new/base/disks/floppy.c;softpc.new/base/support/time_day.c;softpc.new/base/system/cmos.c;softpc.new/base/system/cmosnt.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"cmp.h"	"3"	"3"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/cmp.c;softpc.new/base/ccpu386/cmpxchg.c"	"base/ntos/config/cmp.h"	"base/ntos/config"	"selected-mvdm-header; no external package edge"	"expand owning package/build boundary"	"mvdm selected union"	"internal-or-selected-input"
"cmpxchg.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/cmpxchg.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"cntlbop.h"	"3"	"3"	"softpc.new/base/bios/bios.c;softpc.new/base/bios/cntlbop.c;softpc.new/host/src/nt_bop.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"commdlg.h"	"1"	"1"	"vdmutils/pifedit/pifedit.c"	"com/ole32/olethunk/ole16/inc/commdlg.h;public/sdk/inc/commdlg.h;sdktools/jetadmin/inc/commdlg.h;sdktools/jetadmin/sdk/inc32/commdlg.h"	"com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"modern public Win32 UI/console/spool binding; private historical entrypoints seed ntcon/ntuser/ntgdi BFS"	"public-api-or-private-client-candidate"
"conapi.h"	"20"	"20"	"softpc.new/host/src/config.c;softpc.new/host/src/nt_cga.c;softpc.new/host/src/nt_det.c;softpc.new/host/src/nt_ega.c;softpc.new/host/src/nt_error.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_fulsc.c;softpc.new/host/src/nt_graph.c;softpc.new/host/src/nt_hosts.c;softpc.new/host/src/nt_mouse.c;softpc.new/host/src/nt_msscs.c;softpc.new/host/src/nt_munge.c;softpc.new/host/src/nt_reset.c;softpc.new/host/src/nt_smenu.c;softpc.new/host/src/nt_term.c;softpc.new/host/src/nt_timer.c;softpc.new/host/src/nt_vga.c;softpc.new/host/src/nt_wcom.c;v86/scaffold/i386/fakekbd.c;v86/scaffold/i386/softpc.c"	"public/internal/windows/inc/conapi.h"	"public/internal/windows"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"modern public Win32 UI/console/spool binding; private historical entrypoints seed ntcon/ntuser/ntgdi BFS"	"public-api-or-private-client-candidate"
"config.h"	"65"	"65"	"softpc.new/base/bios/bootstra.c;softpc.new/base/bios/emm_fncs.c;softpc.new/base/bios/reset.c;softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/mov.c;softpc.new/base/ccpu386/popf.c;softpc.new/base/comms/com.c;softpc.new/base/comms/printer_.c;softpc.new/base/comms/printer.c;softpc.new/base/debug/yoda.c;softpc.new/base/disks/diskbios.c;softpc.new/base/disks/fdisk.c;softpc.new/base/disks/fla.c;softpc.new/base/disks/floppy_i.c;softpc.new/base/disks/floppy.c;softpc.new/base/disks/gfi_ibm.c;softpc.new/base/disks/gfi_mpty.c;softpc.new/base/disks/gfi_sflp.c;softpc.new/base/disks/gfi_test.c;softpc.new/base/disks/gfi.c;softpc.new/base/keymouse/keyba.c;softpc.new/base/keymouse/mouse_io.c;softpc.new/base/support/get_env.c;softpc.new/base/support/main.c;softpc.new/base/support/terminat.c;softpc.new/base/system/cmos.c;softpc.new/base/system/cmosnt.c;softpc.new/base/system/illegalp.c;softpc.new/base/system/qevnt.c;softpc.new/base/system/quick_ev.c;softpc.new/base/system/rom.c;softpc.new/base/video/cga.c;softpc.new/base/video/ega_mode.c;softpc.new/base/video/ega_prts.c;softpc.new/base/video/ega_vide.c;softpc.new/base/video/gfx_updt.c;softpc.new/base/video/gvi.c;softpc.new/base/video/v7_video.c;softpc.new/base/video/vga_mode.c;softpc.new/base/video/vga_prts.c;softpc.new/base/video/vga_vide.c;softpc.new/base/video/video.c;softpc.new/host/src/config.c;softpc.new/host/src/nt_bop.c;softpc.new/host/src/nt_cga.c;softpc.new/host/src/nt_com.c;softpc.new/host/src/nt_det.c;softpc.new/host/src/nt_error.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_fdisk.c;softpc.new/host/src/nt_fulsc.c;softpc.new/host/src/nt_graph.c;softpc.new/host/src/nt_hunt.c;softpc.new/host/src/nt_input.c;softpc.new/host/src/nt_lpt.c;softpc.new/host/src/nt_mouse.c;softpc.new/host/src/nt_msscs.c;softpc.new/host/src/nt_reset.c;softpc.new/host/src/nt_rflop.c;softpc.new/host/src/nt_sound.c;softpc.new/host/src/nt_vdd.c;softpc.new/host/src/nt_vflop.c;softpc.new/host/src/nt_wcom.c;softpc.new/host/src/stf_conf.c;softpc.new/host/src/stubs.c"	"com/ole32/olethunk/thc/thpp/config.h;ds/netapi/netcmd/inc/config.h;ds/netapi/svcdlls/rpl/inc/config.h;public/internal/ds/inc/config.h;public/internal/sdktools/inc/ztools/config.h;sdktools/oscdimg/config.h"	"com/ole32/olethunk;ds/netapi/netcmd;ds/netapi/svcdlls;public/internal/ds;public/internal/sdktools;sdktools/oscdimg/config.h"	"selected-mvdm-header; no external package edge"	"expand owning package/build boundary"	"mvdm selected union"	"internal-or-selected-input"
"conio.h"	"6"	"6"	"oemuni/toemuni.c;v86/scaffold/i386/fakebop.c;v86/scaffold/i386/fakeinit.c;v86/scaffold/i386/fakekbd.c;v86/scaffold/i386/fakevid.c;vdmutils/graftabl/graftabl.c"	"base/crts/crtw32/h/conio.h;base/crts/libw32/include/conio.h;public/sdk/inc/crt/conio.h;sdktools/jetadmin/inc/conio.h"	"base/crts/crtw32;base/crts/libw32;public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"MSVC CRT / public C runtime"	"modern-public-leaf"
"conroute.h"	"1"	"1"	"softpc.new/host/src/nt_event.c"	"public/internal/base/inc/conroute.h"	"public/internal/base"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"base/win32 VDM + BaseClient contract"	"external-package-or-declaration"
"Cpu_c.h"	"4"	"4"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/ccpupig.c;softpc.new/base/system/rom.c;softpc.new/host/src/nt_cpu.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"cpu_vid.h"	"13"	"13"	"softpc.new/base/ccpu386/ccpusas4.c;softpc.new/base/cpu/src/evid/ev_glue.c;softpc.new/base/cvidc/ev_glue.c;softpc.new/base/cvidc/evidfunc.c;softpc.new/base/video/cga.c;softpc.new/base/video/ega_prts.c;softpc.new/base/video/ega_read.c;softpc.new/base/video/ega_writ.c;softpc.new/base/video/egawrtm0.c;softpc.new/base/video/egwrtm12.c;softpc.new/base/video/ga_glue.c;softpc.new/base/video/vga_prts.c;softpc.new/base/video/video.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"cpu4.h"	"5"	"5"	"softpc.new/base/ccpu386/ntstubs.c;softpc.new/base/ccpu386/sascdef.c;softpc.new/base/cvidc/accessfn.c;softpc.new/base/cvidc/sascdef.c;softpc.new/host/src/nt_aorc.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"CpuInt_c.h"	"1"	"1"	"softpc.new/base/ccpu386/zfrsrvd.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"crypt.h"	"1"	"1"	"vdmredir/vrnetapi.c"	"public/internal/ds/inc/crypt.h"	"public/internal/ds"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"DS NetAPI/RAP/Rx package family"	"external-package-or-declaration"
"ctype.h"	"22"	"22"	"bde/bdemisc.c;dos/command/cmdconf.c;dos/command/cmdenv.c;dos/command/cmdexec.c;dos/command/cmdkeyb.c;dos/command/cmdmisc.c;dos/command/cmdpif.c;dos/command/cmdredir.c;softpc.new/base/bios/emm_fncs.c;softpc.new/base/bios/ill_bop.c;softpc.new/base/comms/com.c;softpc.new/base/debug/pigyoda.c;softpc.new/base/debug/yoda.c;softpc.new/host/src/nt_msscs.c;v86/scaffold/i386/softpc.c;vdmexts/dib.c;vdmexts/misc.c;vdmexts/wow.c;vdmexts/wowprof.c;vdmredir/vrdebug.c;vdmredir/vrdll.c;wow32/debug.c"	"base/crts/crtw32/h/ctype.h;base/crts/libw32/include/ctype.h;com/ole32/olethunk/ole16/inc/ctype.h;public/sdk/inc/crt/ctype.h;sdktools/jetadmin/inc/ctype.h"	"base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"MSVC CRT / public C runtime"	"modern-public-leaf"
"curdir.h"	"1"	"1"	"wow32/wdos.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"cwd.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/cwd.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"cwde.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/cwde.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"d_inst.h"	"2"	"2"	"softpc.new/base/dasm386/dasm386.c;softpc.new/base/dasm386/decode.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"d_oper.h"	"2"	"2"	"softpc.new/base/dasm386/dasm386.c;softpc.new/base/dasm386/decode.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"daa.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/daa.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"das.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/das.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"dasm.h"	"4"	"4"	"softpc.new/base/ccpu386/ccpupig.c;softpc.new/base/dasm386/dasm386.c;softpc.new/base/debug/trace.c;softpc.new/base/debug/yoda.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"DASM1.seg"	"1"	"1"	"softpc.new/base/debug/dasm.c"	""	""	"selected MVDM SoftPC firmware/generated segment; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"DASM2.seg"	"1"	"1"	"softpc.new/base/debug/dasm.c"	""	""	"selected MVDM SoftPC firmware/generated segment; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"dbgexp.h"	"3"	"3"	"dbg/dbg.c;v86/scaffold/i386/fakebop.c;v86/scaffold/i386/softpc.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"dbginfo.h"	"2"	"2"	"dbg/dbg.c;vdmdbg/vdmdbg.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"dbgsvc.h"	"3"	"3"	"dbg/dbg.c;dos/dem/demmisc.c;vdmexts/debug.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"debug.h"	"90"	"89"	"softpc.new/base/bios/emm_fncs.c;softpc.new/base/bios/ill_bop.c;softpc.new/base/bios/reset.c;softpc.new/base/bios/tape_io.c;softpc.new/base/bios/virtual.c;softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/ccpusas4.c;softpc.new/base/ccpu386/popf.c;softpc.new/base/ccpu386/zfrsrvd.c;softpc.new/base/comms/com.c;softpc.new/base/comms/printer.c;softpc.new/base/debug/ega_dump.c;softpc.new/base/debug/profile.c;softpc.new/base/disks/diskbios.c;softpc.new/base/disks/fdisk.c;softpc.new/base/disks/fla.c;softpc.new/base/disks/floppy_i.c;softpc.new/base/disks/floppy.c;softpc.new/base/disks/gfi_ibm.c;softpc.new/base/disks/gfi_mpty.c;softpc.new/base/disks/gfi_sflp.c;softpc.new/base/disks/gfi.c;softpc.new/base/dos/emm_mngr.c;softpc.new/base/keymouse/keyba.c;softpc.new/base/keymouse/keybd_io.c;softpc.new/base/keymouse/mouse_io.c;softpc.new/base/keymouse/ppi.c;softpc.new/base/support/get_env.c;softpc.new/base/support/ios.c;softpc.new/base/support/main.c;softpc.new/base/support/terminat.c;softpc.new/base/system/at_dma.c;softpc.new/base/system/cmos.c;softpc.new/base/system/cmosnt.c;softpc.new/base/system/ica.c;softpc.new/base/system/illegalp.c;softpc.new/base/system/qevnt.c;softpc.new/base/system/quick_ev.c;softpc.new/base/system/rom.c;softpc.new/base/system/timer.c;softpc.new/base/system/unexp_nt.c;softpc.new/base/video/cga.c;softpc.new/base/video/ega_dmmy.c;softpc.new/base/video/ega_mode.c;softpc.new/base/video/ega_prts.c;softpc.new/base/video/ega_read.c;softpc.new/base/video/ega_vide.c;softpc.new/base/video/ega_writ.c;softpc.new/base/video/egawrtm0.c;softpc.new/base/video/egwrtm12.c;softpc.new/base/video/ga_glue.c;softpc.new/base/video/gfx_updt.c;softpc.new/base/video/gvi.c;softpc.new/base/video/v7_ports.c;softpc.new/base/video/v7_video.c;softpc.new/base/video/vga_mode.c;softpc.new/base/video/vga_prts.c;softpc.new/base/video/vga_vide.c;softpc.new/base/video/video_io.c;softpc.new/base/video/video.c;softpc.new/host/src/config.c;softpc.new/host/src/nt_cga.c;softpc.new/host/src/nt_com.c;softpc.new/host/src/nt_cpu.c;softpc.new/host/src/nt_det.c;softpc.new/host/src/nt_ega.c;softpc.new/host/src/nt_emm.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_fulsc.c;softpc.new/host/src/nt_graph.c;softpc.new/host/src/nt_hfx.c;softpc.new/host/src/nt_hosts.c;softpc.new/host/src/nt_hunt.c;softpc.new/host/src/nt_input.c;softpc.new/host/src/nt_inthk.c;softpc.new/host/src/nt_lpt.c;softpc.new/host/src/nt_mem.c;softpc.new/host/src/nt_mouse.c;softpc.new/host/src/nt_ntfun.c;softpc.new/host/src/nt_reset.c;softpc.new/host/src/nt_rflop.c;softpc.new/host/src/nt_sas.c;softpc.new/host/src/nt_sound.c;softpc.new/host/src/nt_timer.c;softpc.new/host/src/nt_unix.c;softpc.new/host/src/nt_vga.c;softpc.new/host/src/nt_wcom.c;softpc.new/host/src/stubs.c;softpc.new/host/src/x86_emm.c"	"base/fs/mup/debug.h;base/fs/rdr/bowser/debug.h;base/fs/rdr/driver/debug.h;com/ole32/ih/debug.h;com/ole32/olethunk/ole16/inc/debug.h;com/oleaut32/typelib/debug.h;ds/netapi/svcdlls/lls/inc/debug.h;ds/netapi/svcdlls/rpl/rplinst/debug.h;ds/netapi/svcdlls/rpl/server/debug.h;ds/security/protocols/ntlmssp/debug.h;net/sockets/winsock2/wsp/ws2map/debug.h;net/sockets/winsock2.nt5/wsp/ws2map/debug.h;public/internal/shell/inc/debug.h;sdktools/mandel/debug.h;sdktools/winmeter/debug.h;shell/inc/debug.h;windows/core/advapi/digsig/digsig/debug.h;windows/core/advapi/digsig/softpub/debug.h;windows/core/ntgdi/displays/8514a/debug.h;windows/core/ntgdi/displays/ati/debug.h;windows/core/ntgdi/displays/cirrus/debug.h;windows/core/ntgdi/displays/framebuf/debug.h;windows/core/ntgdi/displays/jz484/debug.h;windows/core/ntgdi/displays/mga/debug.h"	"base/fs/mup;base/fs/rdr;com/ole32/ih;com/ole32/olethunk;com/oleaut32/typelib;ds/netapi/svcdlls;ds/security/protocols;net/sockets/winsock2;net/sockets/winsock2.nt5;public/internal/shell;sdktools/mandel/debug.h;sdktools/winmeter/debug.h;shell/inc/debug.h;windows/core/advapi;windows/core/ntgdi"	"selected-mvdm-header; no external package edge"	"expand owning package/build boundary"	"mvdm selected union"	"internal-or-selected-input"
"dec.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/dec.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"decode.h"	"4"	"4"	"softpc.new/base/ccpu386/ccpupig.c;softpc.new/base/dasm386/dasm386.c;softpc.new/base/dasm386/decode.c;softpc.new/base/debug/trace.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"dem.h"	"16"	"16"	"dos/dem/dem.c;dos/dem/demdasd.c;dos/dem/demdata.c;dos/dem/demdir.c;dos/dem/demdisp.c;dos/dem/demerror.c;dos/dem/demfcb.c;dos/dem/demfile.c;dos/dem/demgset.c;dos/dem/demhndl.c;dos/dem/demioctl.c;dos/dem/demlabel.c;dos/dem/demlock.c;dos/dem/demmisc.c;dos/dem/demmsg.c;dos/dem/demsrch.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"demdasd.h"	"3"	"3"	"dos/dem/demdasd.c;dos/dem/demgset.c;dos/dem/demioctl.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"demexp.h"	"8"	"8"	"dos/command/cmdconf.c;dos/command/cmdenv.c;dos/command/cmdmisc.c;softpc.new/host/src/nt_bop.c;softpc.new/host/src/nt_msscs.c;v86/scaffold/i386/fakebop.c;v86/scaffold/i386/softpc.c;wow32/wkfileio.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"demmsg.h"	"12"	"12"	"dos/dem/demdir.c;dos/dem/demerror.c;dos/dem/demfcb.c;dos/dem/demfile.c;dos/dem/demgset.c;dos/dem/demhndl.c;dos/dem/demioctl.c;dos/dem/demlabel.c;dos/dem/demlock.c;dos/dem/demmisc.c;dos/dem/demmsg.c;dos/dem/demsrch.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"devioctl.h"	"1"	"1"	"vdd/samples/mscdex/vdd/vcdex.c"	"public/sdk/inc/devioctl.h"	"public/sdk/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"unresolved first-hop include spelling"	"source-layout-reconciliation"
"div.h"	"2"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/div.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"dlcapi.h"	"7"	"7"	"vdmredir/vrdisp.c;vdmredir/vrdlc5c.c;vdmredir/vrdlcbuf.c;vdmredir/vrdlcdbg.c;vdmredir/vrdlcpst.c;vdmredir/vrinit.c;vdmredir/vrnetb.c"	"public/sdk/inc/dlcapi.h;sdktools/jetadmin/inc/dlcapi.h"	"public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"DS NetAPI/RAP/Rx package family"	"external-package-or-declaration"
"dlcio.h"	"6"	"6"	"vdmredir/vrdisp.c;vdmredir/vrdlc5c.c;vdmredir/vrdlcbuf.c;vdmredir/vrdlcdbg.c;vdmredir/vrdlcpst.c;vdmredir/vrnetb.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"dlgs.h"	"1"	"1"	"wow32/wcommdlg.c"	"com/ole32/olethunk/ole16/inc/dlgs.h;public/sdk/inc/dlgs.h;sdktools/jetadmin/inc/dlgs.h;sdktools/jetadmin/sdk/inc32/dlgs.h"	"com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"modern public Win32 UI/console/spool binding; private historical entrypoints seed ntcon/ntuser/ntgdi BFS"	"public-api-or-private-client-candidate"
"dlstruct.h"	"1"	"1"	"vdmredir/vrnetapi.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"dma.h"	"7"	"7"	"softpc.new/base/bios/reset.c;softpc.new/base/disks/floppy.c;softpc.new/base/disks/gfi_sflp.c;softpc.new/base/system/at_dma.c;softpc.new/host/src/nt_rflop.c;softpc.new/host/src/nt_vdd.c;softpc.new/host/src/nt_vflop.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"dossvc.h"	"2"	"2"	"vdmredir/vrnmpipe.c;wow32/wkfileio.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"doswow.h"	"2"	"2"	"vdmexts/dib.c;vdmexts/wow.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"dpmi.h"	"3"	"3"	"ieuvddex/trace.c;vdmexts/debug.c;vdmexts/trace.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"dpmiint.h"	"1"	"1"	"dpmi32/dpmiint.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"drivinit.h"	"1"	"1"	"wow32/wgdi31.c"	"public/sdk/inc/drivinit.h;sdktools/jetadmin/inc/drivinit.h;sdktools/jetadmin/sdk/inc32/drivinit.h"	"public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"modern public Win32 UI/console/spool binding; private historical entrypoints seed ntcon/ntuser/ntgdi BFS"	"public-api-or-private-client-candidate"
"dsktrace.h"	"3"	"3"	"softpc.new/base/debug/yoda.c;softpc.new/base/disks/diskbios.c;softpc.new/base/disks/fdisk.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
