"include"	"disposition"	"occurrence_count"	"source_count"	"forms"	"selected_candidate"	"first_source"	"first_line"	"rationale"
"dbgsvc.h"	"mvdm-selected-include"	"3"	"3"	"angle"	"O:\repos.external\OpenNT\base\mvdm\inc\dbgsvc.h"	"dbg/dbg.c"	"23"	"include name maps to a selected MVDM union path"
"dde.h"	"ambiguous-opennt-platform-candidate"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\base\mvdm\wow16\inc\dde.h;O:\repos.external\OpenNT\public\sdk\inc\dde.h;O:\repos.external\OpenNT\sdktools\jetadmin\inc\dde.h;O:\repos.external\OpenNT\sdktools\jetadmin\sdk\inc32\dde.h;O:\repos.external\OpenNT-4.5\nt\private\mvdm\wow16\inc\dde.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\hdos\c800\include\dde.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\hdos\c800_old\include\dde.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\os2\inc\dde.h;O:\repos.external\OpenNT-4.5\nt\private\os2\client\thunk\include\dde.h;O:\repos.external\OpenNT-4.5\nt\private\rpc\import\msvc15\include\dde.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\inc\dde.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\sdk\inc32\dde.h"	"wow32/precomp.h"	"51"	"multiple same-basename candidates; package and declaration review required before import"
"debug.h"	"mvdm-selected-include"	"90"	"89"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\debug.h"	"softpc.new/base/bios/emm_fncs.c"	"94"	"include name maps to a selected MVDM union path"
"dec.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\dec.h"	"softpc.new/base/ccpu386/c_main.c"	"81"	"quoted include resolves beside one or more selected MVDM sources"
"decode.h"	"mvdm-local-direct"	"5"	"5"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\decode.h"	"softpc.new/base/ccpu386/ccpupig.c"	"31"	"quoted include resolves beside one or more selected MVDM sources"
"dem.h"	"mvdm-local-direct"	"16"	"16"	"quote"	"O:\repos.external\OpenNT\base\mvdm\dos\dem\dem.h"	"dos/dem/dem.c"	"8"	"quoted include resolves beside one or more selected MVDM sources"
"demdasd.h"	"mvdm-local-direct"	"3"	"3"	"quote"	"O:\repos.external\OpenNT\base\mvdm\dos\dem\demdasd.h"	"dos/dem/demdasd.c"	"13"	"quoted include resolves beside one or more selected MVDM sources"
"demexp.h"	"mvdm-selected-include"	"9"	"9"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\inc\demexp.h"	"dos/command/cmdconf.c"	"10"	"include name maps to a selected MVDM union path"
"demmsg.h"	"mvdm-local-direct"	"12"	"12"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\dos\dem\demmsg.h"	"dos/dem/demdir.c"	"14"	"quoted include resolves beside one or more selected MVDM sources"
"devioctl.h"	"exact-opennt-platform-candidate"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\public\sdk\inc\devioctl.h"	"vdd/samples/mscdex/vdd/vcdex.c"	"49"	"unique header candidate outside selected MVDM union; source/ABI review required before import"
"digitalv.h"	"ambiguous-opennt-platform-candidate"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\public\sdk\inc\digitalv.h;O:\repos.external\OpenNT\sdktools\jetadmin\inc\digitalv.h;O:\repos.external\OpenNT\sdktools\jetadmin\sdk\inc32\digitalv.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\inc\digitalv.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\sdk\inc32\digitalv.h"	"wow32/precomp.h"	"88"	"multiple same-basename candidates; package and declaration review required before import"
"direct.h"	"toolchain-or-public-sdk"	"1"	"1"	"angle"	""	"softpc.new/host/inc/host_inc.h"	"56"	"CRT or public Windows SDK declaration; do not mirror into OpenNT platform ABI"
"div.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\div.h"	"softpc.new/base/ccpu386/c_main.c"	"82"	"quoted include resolves beside one or more selected MVDM sources"
"dlcapi.h"	"ambiguous-opennt-platform-candidate"	"7"	"7"	"angle"	"O:\repos.external\OpenNT\public\sdk\inc\dlcapi.h;O:\repos.external\OpenNT\sdktools\jetadmin\inc\dlcapi.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\inc\dlcapi.h"	"vdmredir/vrdisp.c"	"48"	"multiple same-basename candidates; package and declaration review required before import"
"dlcio.h"	"exact-opennt-platform-candidate"	"6"	"6"	"angle"	"O:\repos.external\OpenNT-4.5\nt\private\inc\dlcio.h"	"vdmredir/vrdisp.c"	"50"	"unique header candidate outside selected MVDM union; source/ABI review required before import"
"dlgs.h"	"ambiguous-opennt-platform-candidate"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\base\mvdm\wow16\commdlg\dlgs.h;O:\repos.external\OpenNT\base\mvdm\wow16\inc\dlgs.h;O:\repos.external\OpenNT\com\ole32\olethunk\ole16\inc\dlgs.h;O:\repos.external\OpenNT\public\sdk\inc\dlgs.h;O:\repos.external\OpenNT\sdktools\jetadmin\inc\dlgs.h;O:\repos.external\OpenNT\sdktools\jetadmin\sdk\inc32\dlgs.h;O:\repos.external\OpenNT-4.5\nt\private\mvdm\wow16\commdlg\dlgs.h;O:\repos.external\OpenNT-4.5\nt\private\mvdm\wow16\inc\dlgs.h;O:\repos.external\OpenNT-4.5\nt\private\ole32\olethunk\ole16\inc\dlgs.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\hdos\c800\include\dlgs.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\hdos\c800_old\include\dlgs.h;O:\repos.external\OpenNT-4.5\nt\private\rpc\import\msvc15\include\dlgs.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\inc\dlgs.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\sdk\inc32\dlgs.h;O:\repos.external\OpenNT-4.5\nt\private\windows\shell\accesory\terminal\dlgs.h"	"wow32/wcommdlg.c"	"26"	"multiple same-basename candidates; package and declaration review required before import"
"dlstruct.h"	"mvdm-local-direct"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\vdmredir\dlstruct.h"	"vdmredir/vrnetapi.c"	"87"	"quoted include resolves beside one or more selected MVDM sources"
"dma.h"	"mvdm-selected-include"	"7"	"7"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\dma.h"	"softpc.new/base/bios/reset.c"	"49"	"include name maps to a selected MVDM union path"
"dosdef.h"	"mvdm-local-direct"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\dos\dem\dosdef.h"	"dos/dem/dem.h"	"115"	"quoted include resolves beside one or more selected MVDM sources"
"dossvc.h"	"mvdm-selected-include"	"3"	"3"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\inc\dossvc.h"	"dos/dem/dem.h"	"116"	"include name maps to a selected MVDM union path"
"doswow.h"	"mvdm-selected-include"	"4"	"4"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\inc\doswow.h"	"dos/dem/dosdef.h"	"11"	"include name maps to a selected MVDM union path"
"dpmi.h"	"mvdm-selected-include"	"4"	"4"	"angle"	"O:\repos.external\OpenNT\base\mvdm\inc\dpmi.h"	"dpmi32/precomp.h"	"21"	"include name maps to a selected MVDM union path"
"dpmi32p.h"	"mvdm-local-direct"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\base\mvdm\dpmi32\dpmi32p.h"	"dpmi32/precomp.h"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"dpmidata.h"	"mvdm-local-direct"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\base\mvdm\dpmi32\dpmidata.h"	"dpmi32/precomp.h"	"24"	"quoted include resolves beside one or more selected MVDM sources"
"dpmiint.h"	"mvdm-local-direct"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\base\mvdm\dpmi32\dpmiint.h"	"dpmi32/dpmiint.c"	"41"	"quoted include resolves beside one or more selected MVDM sources"
"drivinit.h"	"ambiguous-opennt-platform-candidate"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\base\mvdm\wow16\inc\drivinit.h;O:\repos.external\OpenNT\public\sdk\inc\drivinit.h;O:\repos.external\OpenNT\sdktools\jetadmin\inc\drivinit.h;O:\repos.external\OpenNT\sdktools\jetadmin\sdk\inc32\drivinit.h;O:\repos.external\OpenNT-4.5\nt\private\mvdm\wow16\inc\drivinit.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\hdos\c800\include\drivinit.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\hdos\c800_old\include\drivinit.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\os2\inc\drivinit.h;O:\repos.external\OpenNT-4.5\nt\private\os2\client\thunk\include\drivinit.h;O:\repos.external\OpenNT-4.5\nt\private\rpc\import\msvc15\include\drivinit.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\inc\drivinit.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\sdk\inc32\drivinit.h"	"wow32/wgdi31.c"	"17"	"multiple same-basename candidates; package and declaration review required before import"
"dsktrace.h"	"mvdm-selected-include"	"3"	"3"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\dsktrace.h"	"softpc.new/base/debug/yoda.c"	"104"	"include name maps to a selected MVDM union path"
"dterm.h"	"mvdm-selected-include"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\dterm.h"	"softpc.new/host/src/nt_error.c"	"43"	"include name maps to a selected MVDM union path"
"egacpu.h"	"mvdm-selected-include"	"30"	"30"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\egacpu.h"	"softpc.new/base/cpu/src/evid/ev_glue.c"	"26"	"include name maps to a selected MVDM union path"
"egagraph.h"	"mvdm-selected-include"	"20"	"20"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\egagraph.h"	"softpc.new/base/debug/ega_dump.c"	"45"	"include name maps to a selected MVDM union path"
"egamode.h"	"mvdm-selected-include"	"7"	"7"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\egamode.h"	"softpc.new/base/video/ega_mode.c"	"115"	"include name maps to a selected MVDM union path"
"egaports.h"	"mvdm-selected-include"	"23"	"23"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\egaports.h"	"softpc.new/base/debug/ega_dump.c"	"43"	"include name maps to a selected MVDM union path"
"egaread.h"	"mvdm-selected-include"	"7"	"7"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\egaread.h"	"softpc.new/base/video/ega_prts.c"	"346"	"include name maps to a selected MVDM union path"
"egatrace.h"	"mvdm-selected-include"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\egatrace.h"	"softpc.new/base/video/ega_trcr.c"	"22"	"include name maps to a selected MVDM union path"
"egavideo.h"	"mvdm-selected-include"	"6"	"6"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\egavideo.h"	"softpc.new/base/keymouse/mouse_io.c"	"92"	"include name maps to a selected MVDM union path"
"emm.h"	"mvdm-selected-include"	"9"	"9"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\emm.h"	"softpc.new/base/bios/emm_fncs.c"	"88"	"include name maps to a selected MVDM union path"
"enter.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\enter.h"	"softpc.new/base/ccpu386/c_main.c"	"83"	"quoted include resolves beside one or more selected MVDM sources"
"equip.h"	"mvdm-selected-include"	"7"	"7"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\equip.h"	"softpc.new/base/bios/equipmnt.c"	"46"	"include name maps to a selected MVDM union path"
"errno.h"	"toolchain-or-public-sdk"	"3"	"3"	"angle"	""	"softpc.new/base/inc/smeg.h"	"34"	"CRT or public Windows SDK declaration; do not mirror into OpenNT platform ABI"
"error.h"	"mvdm-local-direct"	"75"	"72"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\error.h"	"softpc.new/base/bios/emm_fncs.c"	"90"	"quoted include resolves beside one or more selected MVDM sources"
"evid_c.h"	"mvdm-local-direct"	"4"	"4"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\evid_c.h;O:\repos.external\OpenNT\base\mvdm\softpc.new\base\cvidc\evid_c.h"	"softpc.new/base/ccpu386/vglob.c"	"20"	"quoted include resolves beside one or more selected MVDM sources"
"evidfunc.h"	"mvdm-local-direct"	"3"	"3"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\cvidc\evidfunc.h"	"softpc.new/base/cpu/src/evid/ev_glue.c"	"28"	"quoted include resolves beside one or more selected MVDM sources"
"evidgen.h"	"mvdm-local-direct"	"7"	"7"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\evidgen.h;O:\repos.external\OpenNT\base\mvdm\softpc.new\base\cvidc\evidgen.h"	"softpc.new/base/ccpu386/c_getset.c"	"39"	"quoted include resolves beside one or more selected MVDM sources"
"excpt.h"	"ambiguous-opennt-platform-candidate"	"9"	"9"	"angle"	"O:\repos.external\OpenNT\base\crts\crtw32\h\excpt.h;O:\repos.external\OpenNT\base\crts\libw32\include\excpt.h;O:\repos.external\OpenNT\public\sdk\inc\crt\excpt.h;O:\repos.external\OpenNT\sdktools\jetadmin\inc\excpt.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\inc\excpt.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\vctools\crt\crtw32\h\excpt.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\vctools\crt\libw32\include\excpt.h"	"dos/command/cmd.h"	"76"	"multiple same-basename candidates; package and declaration review required before import"
"exterr.h"	"mvdm-selected-include"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\inc\exterr.h"	"dos/dem/demhndl.c"	"22"	"include name maps to a selected MVDM union path"
"fastwow.h"	"mvdm-local-direct"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\wow32\fastwow.h"	"wow32/precomp.h"	"35"	"quoted include resolves beside one or more selected MVDM sources"
"fault.h"	"mvdm-local-direct"	"18"	"18"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\fault.h"	"softpc.new/base/ccpu386/c_addr.c"	"28"	"quoted include resolves beside one or more selected MVDM sources"
"fax32.h"	"mvdm-local-direct"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\vdd\samples\sample1\fax32\fax32.h"	"vdd/samples/sample1/fax32/fax32.c"	"10"	"quoted include resolves beside one or more selected MVDM sources"
"faxcomm.h"	"mvdm-selected-include"	"2"	"2"	"quote"	"O:\repos.external\OpenNT\base\mvdm\fax\faxcomm.h"	"fax/wowfax/wowfaxdd.h"	"16"	"include name maps to a selected MVDM union path"
"fcntl.h"	"toolchain-or-public-sdk"	"5"	"5"	"angle"	""	"dos/dem/demhndl.c"	"20"	"CRT or public Windows SDK declaration; do not mirror into OpenNT platform ABI"
"fdisk.h"	"mvdm-selected-include"	"5"	"5"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\fdisk.h"	"softpc.new/base/bios/reset.c"	"71"	"include name maps to a selected MVDM union path"
"fla.h"	"mvdm-selected-include"	"13"	"13"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\fla.h"	"softpc.new/base/bios/reset.c"	"50"	"include name maps to a selected MVDM union path"
"float.h"	"toolchain-or-public-sdk"	"1"	"1"	"angle"	""	"softpc.new/host/inc/cfpu_def.h"	"126"	"CRT or public Windows SDK declaration; do not mirror into OpenNT platform ABI"
"floppy.h"	"mvdm-selected-include"	"5"	"5"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\floppy.h"	"softpc.new/base/bios/reset.c"	"52"	"include name maps to a selected MVDM union path"
"forcedos.h"	"mvdm-local-direct"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\vdmutils\forcedos\forcedos.h"	"vdmutils/forcedos/forcedos.c"	"43"	"quoted include resolves beside one or more selected MVDM sources"
"fpu_c.h"	"mvdm-local-direct"	"5"	"5"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\fpu_c.h;O:\repos.external\OpenNT\base\mvdm\softpc.new\base\cvidc\fpu_c.h"	"softpc.new/base/ccpu386/c_getset.c"	"45"	"quoted include resolves beside one or more selected MVDM sources"
"fun.h"	"mvdm-local-direct"	"5"	"5"	"quote"	"O:\repos.external\OpenNT\base\mvdm\v86\scaffold\i386\fun.h"	"v86/scaffold/i386/fakebop.c"	"9"	"quoted include resolves beside one or more selected MVDM sources"
"ga_defs.h"	"mvdm-selected-include"	"5"	"5"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\ga_defs.h"	"softpc.new/base/video/ega_prts.c"	"359"	"include name maps to a selected MVDM union path"
"ga_mark.h"	"mvdm-selected-include"	"6"	"6"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\ga_mark.h"	"softpc.new/base/cpu/src/evid/ev_glue.c"	"27"	"include name maps to a selected MVDM union path"
"gdispool.h"	"ambiguous-opennt-platform-candidate"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\public\internal\printscan\inc\gdispool.h;O:\repos.external\OpenNT-4.5\nt\private\windows\inc\gdispool.h"	"fax/wowfaxui/wowfaxui.c"	"21"	"multiple same-basename candidates; package and declaration review required before import"
"gdpvar.h"	"mvdm-local-direct"	"15"	"15"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\gdpvar.h;O:\repos.external\OpenNT\base\mvdm\softpc.new\base\cvidc\gdpvar.h;O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\mips\pig\gdpvar.h;O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\mips\prod\gdpvar.h;O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\ppc\pig\gdpvar.h;O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\ppc\prod\gdpvar.h"	"softpc.new/base/ccpu386/c_intr.c"	"36"	"quoted include resolves beside one or more selected MVDM sources"
"gendrvr.h"	"mvdm-selected-include"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\gendrvr.h"	"softpc.new/base/bios/reset.c"	"66"	"include name maps to a selected MVDM union path"
"get_env.h"	"mvdm-selected-include"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\get_env.h"	"softpc.new/base/support/get_env.c"	"28"	"include name maps to a selected MVDM union path"
"gfi.h"	"mvdm-selected-include"	"18"	"18"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\gfi.h"	"softpc.new/base/bios/reset.c"	"51"	"include name maps to a selected MVDM union path"
"gfisflop.h"	"mvdm-selected-include"	"2"	"2"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\gfisflop.h"	"softpc.new/base/disks/gfi_ibm.c"	"31"	"include name maps to a selected MVDM union path"
"gfitest.h"	"mvdm-selected-include"	"2"	"2"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\gfitest.h"	"softpc.new/base/disks/gfi.c"	"62"	"include name maps to a selected MVDM union path"
"gfx_upd.h"	"mvdm-selected-include"	"32"	"32"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\gfx_upd.h"	"softpc.new/base/bios/reset.c"	"54"	"include name maps to a selected MVDM union path"
"gfx_updt.h"	"unresolved-external-include"	"1"	"1"	"quote"	""	"softpc.new/host/src/stf_conf.c"	"28"	"no selected MVDM, CRT/SDK or unique OpenNT header candidate found"
"gisp_sas.h"	"mvdm-selected-include"	"2"	"2"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\gisp_sas.h"	"softpc.new/base/bios/emm_fncs.c"	"100"	"include name maps to a selected MVDM union path"
"gispsvga.h"	"mvdm-selected-include"	"2"	"2"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\gispsvga.h"	"softpc.new/base/bios/bios.c"	"51"	"include name maps to a selected MVDM union path"
"gmi.h"	"mvdm-selected-include"	"45"	"45"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\gmi.h"	"softpc.new/base/bios/reset.c"	"53"	"include name maps to a selected MVDM union path"
"gore.h"	"mvdm-selected-include"	"4"	"4"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\gore.h"	"softpc.new/base/video/ega_mode.c"	"108"	"include name maps to a selected MVDM union path"
"graftabl.h"	"mvdm-local-direct"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\vdmutils\graftabl\graftabl.h"	"vdmutils/graftabl/graftabl.c"	"6"	"quoted include resolves beside one or more selected MVDM sources"
"gvi.h"	"mvdm-selected-include"	"37"	"37"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\gvi.h"	"softpc.new/base/bios/reset.c"	"55"	"include name maps to a selected MVDM union path"
"herc.h"	"mvdm-selected-include"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\herc.h"	"softpc.new/base/video/gvi.c"	"70"	"include name maps to a selected MVDM union path"
"hfx.h"	"mvdm-selected-include"	"4"	"3"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\hfx.h"	"softpc.new/base/bios/bios.c"	"49"	"include name maps to a selected MVDM union path"
"hg_cpu.h"	"mvdm-selected-include"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\hg_cpu.h"	"softpc.new/base/comms/com.c"	"59"	"include name maps to a selected MVDM union path"
"host.h"	"mvdm-selected-include"	"19"	"19"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\host.h"	"softpc.new/base/bios/bios.c"	"45"	"include name maps to a selected MVDM union path"
"host\inc\error.h"	"mvdm-selected-include"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\error.h"	"softpc.new/base/inc/error.h"	"2"	"include name maps to a selected MVDM union path"
"host_bop.h"	"mvdm-selected-include"	"2"	"2"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\host_bop.h"	"softpc.new/base/bios/cntlbop.c"	"47"	"include name maps to a selected MVDM union path"
"host_cfg.h"	"mvdm-local-direct"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\host_cfg.h"	"softpc.new/base/inc/config.h"	"417"	"quoted include resolves beside one or more selected MVDM sources"
"host_com.h"	"mvdm-selected-include"	"5"	"5"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\host_com.h"	"softpc.new/base/comms/com.c"	"51"	"include name maps to a selected MVDM union path"
"host_cpu.h"	"mvdm-selected-include"	"5"	"5"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\host_cpu.h"	"softpc.new/base/inc/cpu.h"	"21"	"include name maps to a selected MVDM union path"
"host_def.h"	"mvdm-selected-include"	"312"	"312"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\host_def.h"	"softpc.new/base/bios/bios.c"	"2"	"include name maps to a selected MVDM union path"
"host_dfs.h"	"unresolved-external-include"	"2"	"2"	"quote"	""	"softpc.new/host/src/nt_vflop.c"	"1"	"no selected MVDM, CRT/SDK or unique OpenNT header candidate found"
"host_emm.h"	"mvdm-selected-include"	"4"	"4"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\host_emm.h"	"softpc.new/base/dos/emm_mngr.c"	"89"	"include name maps to a selected MVDM union path"
"host_gen.h"	"mvdm-selected-include"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\host_gen.h"	"softpc.new/base/inc/xt.h"	"62"	"include name maps to a selected MVDM union path"
"host_gfx.h"	"mvdm-selected-include"	"13"	"13"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\host_gfx.h"	"softpc.new/base/debug/yoda.c"	"110"	"include name maps to a selected MVDM union path"
"host_gwi.h"	"mvdm-local-direct"	"3"	"3"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\host_gwi.h"	"softpc.new/base/inc/error.h"	"417"	"quoted include resolves beside one or more selected MVDM sources"
"host_hfx.h"	"mvdm-selected-include"	"8"	"7"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\host_hfx.h"	"softpc.new/base/bios/bios.c"	"48"	"include name maps to a selected MVDM union path"
"host_inc.h"	"mvdm-selected-include"	"5"	"5"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\host_inc.h"	"softpc.new/base/ccpu386/localfm.c"	"3"	"include name maps to a selected MVDM union path"
"host_lic.h"	"unresolved-external-include"	"2"	"2"	"quote"	""	"softpc.new/base/bios/reset.c"	"87"	"no selected MVDM, CRT/SDK or unique OpenNT header candidate found"
"host_lpt.h"	"mvdm-selected-include"	"6"	"6"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\host_lpt.h"	"softpc.new/base/bios/reset.c"	"69"	"include name maps to a selected MVDM union path"
"host_nls.h"	"mvdm-selected-include"	"6"	"6"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\host_nls.h"	"softpc.new/host/src/nt_error.c"	"45"	"include name maps to a selected MVDM union path"
"host_qev.h"	"mvdm-selected-include"	"2"	"2"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\host_qev.h"	"softpc.new/base/inc/quick_ev.h"	"17"	"include name maps to a selected MVDM union path"
"host_rrr.h"	"mvdm-selected-include"	"20"	"20"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\host_rrr.h"	"softpc.new/host/src/config.c"	"40"	"include name maps to a selected MVDM union path"
"host_sas.h"	"mvdm-local-direct"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\host_sas.h"	"softpc.new/base/inc/sas.h"	"26"	"quoted include resolves beside one or more selected MVDM sources"
"host_trc.h"	"mvdm-selected-include"	"4"	"4"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\host_trc.h"	"softpc.new/host/src/nt_com.c"	"29"	"include name maps to a selected MVDM union path"
"hostsync.h"	"mvdm-selected-include"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\hostsync.h"	"softpc.new/host/src/nt_lpt.c"	"68"	"include name maps to a selected MVDM union path"
"hunter.h"	"mvdm-selected-include"	"5"	"5"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\hunter.h"	"softpc.new/base/bios/reset.c"	"85"	"include name maps to a selected MVDM union path"
