"logical_path"	"target_path"	"selected_source"	"selected_sha256"	"role"	"selection_basis"
"public/internal/ds/inc/samsrv.h"	"source/public/internal/ds/inc/samsrv.h"	"O:\repos.external\opennt\public\internal\ds\inc\samsrv.h"	"d426fcacded24c58ce2793fd3d6ea76f848d0bd2f5a73153955213d93eba1715"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/secobj.h"	"source/public/internal/ds/inc/secobj.h"	"O:\repos.external\opennt\public\internal\ds\inc\secobj.h"	"99e5ea1c424b795235dde4146f07b502a7eff359e0be26774ed87e36fbfa5cbb"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/services.h"	"source/public/internal/ds/inc/services.h"	"O:\repos.external\opennt\public\internal\ds\inc\services.h"	"e7092a2ec6660703800c00bf94736a3cbf7e9e9f1473098a130cab51220676d5"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/ssi.h"	"source/public/internal/ds/inc/ssi.h"	"O:\repos.external\opennt\public\internal\ds\inc\ssi.h"	"522783006081c27d395d5aaa64695bddbd414878dca870ff88f3379938560b75"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/status.h"	"source/public/internal/ds/inc/status.h"	"O:\repos.external\opennt\public\internal\ds\inc\status.h"	"730c928405b92127ca2572327f6d86c0866c098b83bfd3285cf2a388f95c5240"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/strarray.h"	"source/public/internal/ds/inc/strarray.h"	"O:\repos.external\opennt\public\internal\ds\inc\strarray.h"	"89f5cee2992d38781467b555998534db86e64cdbde026301c05e96f1ed43b1a4"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/strucinf.h"	"source/public/internal/ds/inc/strucinf.h"	"O:\repos.external\opennt\public\internal\ds\inc\strucinf.h"	"5dffd99e3a625c86176c8b68e67ad89672a8e4f0727eaa3ca707e7aaf72c352d"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/thread.h"	"source/public/internal/ds/inc/thread.h"	"O:\repos.external\opennt\public\internal\ds\inc\thread.h"	"262ca6ff27f375284e8ccca83dc64fd4fea460e14ed0a7404735b0d5cdbc048d"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/timelib.h"	"source/public/internal/ds/inc/timelib.h"	"O:\repos.external\opennt\public\internal\ds\inc\timelib.h"	"6f44ad84f7119f62c58646f5c1f9405a8e2b6da7d6dc91503264aa4128bd3dcc"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/token.h"	"source/public/internal/ds/inc/token.h"	"O:\repos.external\opennt\public\internal\ds\inc\token.h"	"77c42ea56f99dbbc324f8d15260f72e0e693e0c639803dcd6144d807c5e1ecb1"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/uascache.h"	"source/public/internal/ds/inc/uascache.h"	"O:\repos.external\opennt\public\internal\ds\inc\uascache.h"	"74024f77a5c044130a39bb916b6678523b90cf305b7163ac8a5c287bcd4e2f5d"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/validc.h"	"source/public/internal/ds/inc/validc.h"	"O:\repos.external\opennt\public\internal\ds\inc\validc.h"	"b9d47ecf22d8e5b4e9bb6f6ed67417f27e5b04b8534c461eec6659b817cf105e"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/xsprocs.h"	"source/public/internal/ds/inc/xsprocs.h"	"O:\repos.external\opennt\public\internal\ds\inc\xsprocs.h"	"92f877f06d37706c1f1acabab1784e826be365f637c8fb40a82357b66d8b866f"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/xstypes.h"	"source/public/internal/ds/inc/xstypes.h"	"O:\repos.external\opennt\public\internal\ds\inc\xstypes.h"	"b140254bef8ca8c871c6ca3a94a09c5f858ad9b5560cb687392af22e7c8d8539"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
