"reference_path"	"sha256"	"candidate_kind"	"interface_id"	"disposition"	"successor"	"rationale"
"adapter-softpc/include/mvdm/WOW.INC"	"87c5a5a1a3f34873b9bb27ba21eef73a576589229a205ec6dec32ca8e8b5aebc"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowclip.h"	"c4649db7307c225fc168444db32b31f700d33c06d2741c26579b5eed3a0cd75a"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowcmdlg.h"	"bd464ea1d43a71077f515db474a4156f2bd3a4f9dc90136b8f36ea427128d75f"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/WOWCMDLG.INC"	"19ce7bb243b18b97631949e8780e288bc702d320bcb01460c93754efa6813175"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowcmpat.h"	"0d0bab4df27031fdc35a39e7d3eb704b7f77ec25d981a215e30fb218aac9ee92"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/WOWCMPAT.INC"	"20cbcaadbd408c557c9116db02c889579d105d8a0b84816e8257d980a1987650"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowcomm.h"	"47b045ec54bafb663c390c85c08474793bc9f42b6c8a099cea82b3994e00fe21"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowddeml.h"	"8cd9627dd0af77790fd4c046c69f52c2a04fbf816166c8369033e65ae341e292"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowexp.h"	"9808ea87febfaf78ebb5cdfb2da68ac1c9795c6c19dd67c37a0e33ee95d6eb94"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowfax.h"	"f1b406590db7031c01c6eb7ecb80fe859bd89296ee2fec7b7618b77bda22bcd7"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowgdi.h"	"474b263b337b1b3724b0a154c5ff3ad7689eab54906bc4e327272dda04f0c8f8"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/WOWGDI.INC"	"5b6c2f8a7400862fdf65f35fc9c60e0e4185ed7a306579c1af41febf258aac52"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowinfo.h"	"a0a125eedf4138d353fea1f97316331fd5a8acfb82dbd80d7abfe5dedf350026"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowint.h"	"33449c2765f597b7ccde3ed61c45f35e72730fbaefc073a065c423a4ff716030"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowkbd.h"	"ecff4d47c62f462aa0cea48d5cb0c8c0b658e33d89dbb6f47899df2228a414cf"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/WOWKBD.INC"	"638e7096a7b69117e8400f3f96232a18691292b41d2ca63873d61f248a7d6f79"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowkrn.h"	"8d9fbb2c3b74c21588eaa7541513db0e3181e41caa0d6a38d2395ae27c01b8cf"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/WOWKRN.INC"	"3e0347b0d75ef2fac49cbf6c3b29e45ec71459807554143bc3251cac53479433"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowmmcb.h"	"c4135b71b57c210150d6083b6eb179ac256e164a1b58a475b4c4f9395dc3cf89"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/WOWMMCB.INC"	"0ba724bb298b3abfc0ac49248b02ca78887f0025c4bc6b8eff2079555c583be5"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowmmed.h"	"3087001d8496874b6f4cc3bd2934005c52bba5143ca6c80a8d6397483823a976"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/WOWMMED.INC"	"e2f65fbb12742ba27620ece28aeb6fa2136fc7ecf86cc16a1fbea7b7ab1ebf32"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/WOWNT32.INC"	"3f0df9fe5bae1f2022e6e0a346e35fa67eeb16482d6a37d66336aa150e9c9d2c"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowshell.h"	"cb1add79d3093adc0df9e433be4060b17fec4e0bcc4cde5081b1d405be22c2ad"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/WOWSHELL.INC"	"151845a03d19d5e41194e37b03e38038a150313c843d32b26ee8bd70105c3deb"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowsnd.h"	"87bab485ec593e87f046942c83a533094997c836ddc72d9dd2c3094dd632860e"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/WOWSND.INC"	"b483aef8a93769e6efbc02d955ebb0f79017b2e879214d01ad3c6bd9296563ac"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowth.h"	"18522e7009325558f9cd77b26b734cfc51768b7eb642e6f83e9d51128ea64f7a"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/WOWTH.INC"	"ce4a1be01d6467c251510ff60b65e5000912e8198ca87fcb7ae70f834721f882"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowusr.h"	"02938ac7dd2356cf551044b892658b90d52ea2476a0eed4c974e955e54482469"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/WOWUSR.INC"	"88e6535db84c9ccac703e406a9a25c92158068abc2edd00cce0164f0ef10f3e1"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wowwsock.h"	"60f14934e48f82016e03974f76517477a0c65f3abe94d2520477ff81c518a468"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/WOWWSOCK.INC"	"43c5359bc06ed04661fe2c61d1c3f719a12f1cec07a39535f1cdb5a03f26f7fd"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/x86def.h"	"f5d8ab04433599401682b0e4f7ae45104b8c5195168cb12201d8278f1549f38d"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/XMSSVC.INC"	"430de6a636d6f8b3d94ed7ae36c6bb663e14a6f3dd59df236d395564840a63db"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/acc_efi.h"	"1223e330518775a04b49d913c8fbdff86d2eec0c8308218640d7fa9215c72142"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/base_def.h"	"084991cfc23dc79529cc67a43488ec114be882fb62a9f95b879e1b6995f7afae"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/bios.h"	"a181e9ddddf9cbeeff03b63f733d282455b2f21b578c6c9cf772bf726b41d064"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/build_id.h"	"ada95c82073f9c2a2b8a1f2f88a6631b2c0807d938fb0bf6dda9b83345717f50"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/cdrom.h"	"9da2a1531ac1eb2e0d2d9b57ec7e85328fd6402a83a3e562494b175f27101569"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/cdrom_fn.h"	"50376ae1cb7e4ff4ddb8ac8bd4af2e74c9ae3c86246c93e3380befb1fb65ea99"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/cga.h"	"683848966f4b5cb5667b9ae0ae140d9e08adcb62060bc77695db844c34b71b0b"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/chkmallc.h"	"a73066eace8bb5104696355c34d741205779cb53472595b58812798210d513e7"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/ckmalloc.h"	"49d55eba11bc663e678544a40536d1a799261c1cf67eb25b779a8c23465c81e3"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/cmos.h"	"ef4dae92c641b3dbeb7aaab67c3f49e1da9d01d2473d2b96fbece0121b235f99"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/cmosbios.h"	"ecd73c3bcc3b6dced9c22b04e9acbb524ab20c3d5ce96bf464e5e6af9fd19ee3"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/cntlbop.h"	"b14316fbd29fee3d582cd88c0b869e46ea01c41964fc1a4bfca87742db2a09cb"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/config.h"	"6c12b5c1bd7102c46d3e5b86795dcce8610e7b9adaead907ba031e9f9bf40034"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/cpu.h"	"c368cceafa5739f4592ecc1e62e4f6d02b788b0772dbd0a8f7e09c8c7c1cecbe"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/cpu_vid.h"	"f7b5efebebd8bf8c6ad5c56adb74c8217490b2b92f113b1e850401fd5f029500"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/cpu2.h"	"7e9cb73f825974421128e93c90a0096ad10518b6f48e47824e4b5d140638d216"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/cpu3.h"	"ad167e9ff54476da9bc31c724d284073fb5c8796aa4417c66524aecb9e33bc0a"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/cpu4.h"	"c1296168c866527a931bfa4b7cefe21f54acc96a6f242b0a60d6cdba4cdba725"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/d_inst.h"	"5c26efcce64e3a2bd0f6d64ca53775e6c6a4f016873e15cbfda98148439edfa3"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/d_oper.h"	"035d342c10eeed78180ed8881ef14b32477e93a12ce1c2cb35381554f598e90f"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/dasm.h"	"bb18cfba18fc1f8379feef143161e3e62462354cb101a95ac5e8f6e434c0dbe0"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/debug.h"	"59246b3c18bf6dfcd79b4e61bf961bc0382800deb4d968c198ceb415c284f21b"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/decode.h"	"d9ecc3cc6097818f6ab37478612778163fc1b647cf76c3159f30978534dab027"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/dfa.h"	"c34cb343b608e1cb0cbb53f8ea0f5f4f50289d7565dd5bc36bb02fd963b0d309"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/disk_geo.h"	"64b7624561a3ffab03e207f1e5174380c1c5e3481ed1a64e1af6ea4dd6500a35"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/dma.h"	"d69831cddb3de18bebe1532c659608b404686374324b3eeebed5607e15a774e4"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/dpmi.h"	"147472a572fe13d6a11307c28ef023b79b495087290b1c8124367b04f4891b46"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/dsktrace.h"	"3fcd4e9fa35ce109914cc48c66eaf9008a58cc71a2a238526f5aa5ebc7d2f121"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/dterm.h"	"925bbcd354ab9d78adb54057a0bb57822725b0b48d76e3db6824601def09f5af"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/egacpu.h"	"4a53a9d1c7fb984deb2c5b0fd629442ee8a35272ad90323624d55daa65886194"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/egagraph.h"	"20c58d8fb126135214410b44cda85a9fb57c7644088e820ce979ad37e7681a39"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/egamode.h"	"4540cc635760eb4a4ecd785672596a65e3d43f4e41ca27d8e2396762eac1c7a7"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/egaports.h"	"9258473bc4f8c375852c51ea8d7eb71a0163e503bd371f779b78eeb6227146af"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/egaread.h"	"d7a32e28259b5c25146a9e83feeae102be6815d937209a23c5ccf292aa1c0dac"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/egatrace.h"	"b7ea3a46cbf438275e2eddb68aaf7d9b744ea2a1b60e123fce833ab85b553e87"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/egavideo.h"	"5b47f5e3566927332de3c3f9474ba3595151758c0a8ff8fd6c9cc860f2f8e6cd"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/emm.h"	"d92cc144f50e60de5042f76c67574a3fdc22b0ad38411d92d1459d4a02b17789"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/equip.h"	"9530d21a819d9e3ff63d9fd8173f2c0df049cc48aa9ee49a740bad6db921e8aa"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/error.h"	"1adf0532f1ef298d7491e01714624e394ea795a308695bc1b05376a9b16ca7a3"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/fdisk.h"	"ab53ed73a6f2caf33d84a6011eff8ac1b098372e3e4012c3dfa6c4ad90a78386"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/fla.h"	"8c4947414bf23f36a15455ae03031d8ac907d4b55569f5e114790c45820f2f9e"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/flexlmif.h"	"ba27db4f84cc7707fe35cf96c3c8f0d99ad22adb99dfc755f5ddfe750b34d0e6"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/floppy.h"	"500e1a6e48950dc2c184a70c39b9606723133c6ab06affac898da89e24fbaca8"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/ga_defs.h"	"853220f9c349fe6c9ca3a0c05a21cc7ea3e97b5e8f8f65cbb846890f87d500b3"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/ga_mark.h"	"ef6896bc3d419ec7cd6c4946ebfc8862fef20b30ffb8bdd0e291aa9f95799a9d"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/gendrvr.h"	"f6750f0da3fab360f5348981440747be5dc612ce81eabec6913557f59b5f0185"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/get_env.h"	"d8a5457cbb151b35aa588c2e93a517b3f71f606aa7522bea3e3bffa4c10944f5"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/getptis.h"	"e3d1d37fcc3b148e5e27c041ea9c14609a5a5b98d76a23b90d76a0a7a057102c"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/gfi.h"	"ae7b3dc66f9d618a841068e0e730c79751a7e496e223cf1d01ef0c4505e54a9d"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/gfiempty.h"	"2990b990982a7381bb75662cf11c2378b958a912d188b4544d88be93cf9e6d0d"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/gfirflop.h"	"c5e342d391610160cb0a5b01ed49e4ef0778dcefcbe6261fac78fcb858581957"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/gfisflop.h"	"43fc7ed066c97d1c0264e08b6bcb1b3a8445f000d5a2132dcc415ebf1b0c88c4"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/gfitest.h"	"a6c81d867eeced198c856c04e95f5606b10281149d22e39a1c6d21083b0cd75a"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/softpc.new/base/inc/gfx_upd.h"	"a8577d81b26da6831e8d5dd496e41ebd40a947c3d641c39c77304d509ba2be61"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
