one_ledger1_identity	caller_physical_identity	caller_source_path	caller_symbol	call_source_line	callee_spelling	call_form	source_definition_result	signature_disposition	seed_class	final_adoption_disposition	owner	next_action
"MVDM-HOST-ONE1-002151"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"209"	"_lread"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002152"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"211"	"_lclose"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002153"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"222"	"strcmp"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002154"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"224"	"_llseek"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002155"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"225"	"_lread"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002156"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"227"	"_lclose"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002157"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"255"	"strcmp"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002158"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"257"	"_llseek"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002159"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"258"	"_lread"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002160"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"260"	"_lclose"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002161"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"276"	"strcpy"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002162"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"282"	"strcpy"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002163"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"290"	"strcmp"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002164"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"293"	"_llseek"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002165"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"294"	"_lread"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002166"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"296"	"_lclose"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002167"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"364"	"RtlMoveMemory"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-002168"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"370"	"strcpy"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002169"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"375"	"strcpy"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002170"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"387"	"strcpy"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002171"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|105|GetPIFData"	"softpc.new/host/src/nt_pif.c"	"GetPIFData"	"392"	"_lclose"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002172"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_pif.c|4ae2c1d2c4a66dc63c9b2ddd673fcae067f2fbdab953dc8d96aecfcf03c262bc|430|ch_malloc"	"softpc.new/host/src/nt_pif.c"	"ch_malloc"	"435"	"malloc"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002173"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|95|host_reset"	"softpc.new/host/src/nt_reset.c"	"host_reset"	"99"	"InitDetect"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	"physical-call-declaration-definition-arity-confirmed"	"mvdm-softpc-second-executor"	"bochs-machine-boundary"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain source contract; never import a second executor"
"MVDM-HOST-ONE1-002174"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|95|host_reset"	"softpc.new/host/src/nt_reset.c"	"host_reset"	"108"	"ConsoleInit"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	"physical-call-declaration-definition-arity-confirmed"	"mvdm-softpc-second-executor"	"bochs-machine-boundary"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain source contract; never import a second executor"
"MVDM-HOST-ONE1-002175"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|95|host_reset"	"softpc.new/host/src/nt_reset.c"	"host_reset"	"122"	"AddTempIVTFixups"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002176"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|95|host_reset"	"softpc.new/host/src/nt_reset.c"	"host_reset"	"130"	"ResumeThread"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002177"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|95|host_reset"	"softpc.new/host/src/nt_reset.c"	"host_reset"	"139"	"IDLE_ctl"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-002178"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|95|host_reset"	"softpc.new/host/src/nt_reset.c"	"host_reset"	"142"	"IDLE_ctl"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-002179"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|95|host_reset"	"softpc.new/host/src/nt_reset.c"	"host_reset"	"144"	"IDLE_ctl"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-002180"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|171|host_applInit"	"softpc.new/host/src/nt_reset.c"	"host_applInit"	"208"	"strlen"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002181"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|171|host_applInit"	"softpc.new/host/src/nt_reset.c"	"host_applInit"	"209"	"strncmp"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002182"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|171|host_applInit"	"softpc.new/host/src/nt_reset.c"	"host_applInit"	"209"	"strlen"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002183"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|171|host_applInit"	"softpc.new/host/src/nt_reset.c"	"host_applInit"	"211"	"strtoul"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002184"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|171|host_applInit"	"softpc.new/host/src/nt_reset.c"	"host_applInit"	"218"	"tolower"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002185"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|171|host_applInit"	"softpc.new/host/src/nt_reset.c"	"host_applInit"	"227"	"strtoul"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002186"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|171|host_applInit"	"softpc.new/host/src/nt_reset.c"	"host_applInit"	"235"	"ExitProcess"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002187"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|171|host_applInit"	"softpc.new/host/src/nt_reset.c"	"host_applInit"	"243"	"ShowStartGlass"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-002188"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|171|host_applInit"	"softpc.new/host/src/nt_reset.c"	"host_applInit"	"247"	"enable_stream_io"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	"physical-call-declaration-definition-arity-confirmed"	"mvdm-softpc-second-executor"	"bochs-machine-boundary"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain source contract; never import a second executor"
"MVDM-HOST-ONE1-002189"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|171|host_applInit"	"softpc.new/host/src/nt_reset.c"	"host_applInit"	"253"	"DuplicateHandle"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002190"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|171|host_applInit"	"softpc.new/host/src/nt_reset.c"	"host_applInit"	"253"	"GetCurrentProcess"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002191"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|171|host_applInit"	"softpc.new/host/src/nt_reset.c"	"host_applInit"	"254"	"GetCurrentThread"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002192"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|171|host_applInit"	"softpc.new/host/src/nt_reset.c"	"host_applInit"	"255"	"GetCurrentProcess"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002193"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|285|host_applClose"	"softpc.new/host/src/nt_reset.c"	"host_applClose"	"288"	"InitSound"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	"physical-call-declaration-definition-arity-confirmed"	"mvdm-softpc-second-executor"	"bochs-machine-boundary"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain source contract; never import a second executor"
"MVDM-HOST-ONE1-002194"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|285|host_applClose"	"softpc.new/host/src/nt_reset.c"	"host_applClose"	"289"	"TerminateHeartBeat"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	"physical-call-declaration-definition-arity-confirmed"	"mvdm-softpc-second-executor"	"bochs-machine-boundary"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain source contract; never import a second executor"
"MVDM-HOST-ONE1-002195"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|285|host_applClose"	"softpc.new/host/src/nt_reset.c"	"host_applClose"	"291"	"GfxCloseDown"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	"physical-call-declaration-definition-arity-confirmed"	"mvdm-softpc-second-executor"	"bochs-machine-boundary"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain source contract; never import a second executor"
"MVDM-HOST-ONE1-002196"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|285|host_applClose"	"softpc.new/host/src/nt_reset.c"	"host_applClose"	"294"	"CloseHandle"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002197"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|321|host_terminate"	"softpc.new/host/src/nt_reset.c"	"host_terminate"	"326"	"CloseHandle"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002198"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|321|host_terminate"	"softpc.new/host/src/nt_reset.c"	"host_terminate"	"330"	"ExitVDM"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	"physical-call-declaration-definition-arity-confirmed"	"baseclient-candidate"	"source-shaped-basevdm-boundary"	"adapter-mvdm-host-out/basesrv"	"use original BaseClient/BaseSrv as source contract; stop at CSR/CSRSS"
"MVDM-HOST-ONE1-002199"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|321|host_terminate"	"softpc.new/host/src/nt_reset.c"	"host_terminate"	"332"	"ExitVDM"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	"physical-call-declaration-definition-arity-confirmed"	"baseclient-candidate"	"source-shaped-basevdm-boundary"	"adapter-mvdm-host-out/basesrv"	"use original BaseClient/BaseSrv as source contract; stop at CSR/CSRSS"
"MVDM-HOST-ONE1-002200"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|321|host_terminate"	"softpc.new/host/src/nt_reset.c"	"host_terminate"	"334"	"ExitProcess"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002201"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|344|TerminateVDM"	"softpc.new/host/src/nt_reset.c"	"TerminateVDM"	"352"	"terminate"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002202"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|361|manager_files_init"	"softpc.new/host/src/nt_reset.c"	"manager_files_init"	"364"	"assert0"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-002203"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|398|short_dummy_func"	"softpc.new/host/src/nt_reset.c"	"short_dummy_func"	"99"	"InitDetect"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	"physical-call-declaration-definition-arity-confirmed"	"mvdm-softpc-second-executor"	"bochs-machine-boundary"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain source contract; never import a second executor"
"MVDM-HOST-ONE1-002204"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|398|short_dummy_func"	"softpc.new/host/src/nt_reset.c"	"short_dummy_func"	"108"	"ConsoleInit"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	"physical-call-declaration-definition-arity-confirmed"	"mvdm-softpc-second-executor"	"bochs-machine-boundary"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain source contract; never import a second executor"
"MVDM-HOST-ONE1-002205"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|398|short_dummy_func"	"softpc.new/host/src/nt_reset.c"	"short_dummy_func"	"122"	"AddTempIVTFixups"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-002206"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_reset.c|9aa8120237ffa104c87318ef39747a0e66c28bf56bfe9af03511bddf13f11b47|398|short_dummy_func"	"softpc.new/host/src/nt_reset.c"	"short_dummy_func"	"130"	"ResumeThread"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
