signature_gate_id	binding_id	resolution_id	one_ledger1_identity	callee_spelling	selected_definition_identity	caller_argument_count	declaration_argument_counts	definition_argument_count	caller_condition_context	definition_condition_context	signature_disposition	next_action	boundary
"MVDM-HOST-ONE1-SIGNATURE-000074"	"MVDM-HOST-ONE1-BINDING-001190"	"MVDM-HOST-ONE1-RESOLUTION-000731"	"MVDM-HOST-ONE1-000829"	"nt_fdisk_close"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|469|nt_fdisk_close"	"1"	"1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000075"	"MVDM-HOST-ONE1-BINDING-001203"	"MVDM-HOST-ONE1-RESOLUTION-000738"	"MVDM-HOST-ONE1-000836"	"nt_fdisk_read"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|393|nt_fdisk_read"	"4"	"4"	"4"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000076"	"MVDM-HOST-ONE1-BINDING-001204"	"MVDM-HOST-ONE1-RESOLUTION-000739"	"MVDM-HOST-ONE1-000837"	"nt_floppy_read"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|711|nt_floppy_read"	"4"	"4"	"4"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000077"	"MVDM-HOST-ONE1-BINDING-001209"	"MVDM-HOST-ONE1-RESOLUTION-000741"	"MVDM-HOST-ONE1-000839"	"nt_fdisk_write"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|413|nt_fdisk_write"	"4"	"4"	"4"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000078"	"MVDM-HOST-ONE1-BINDING-001210"	"MVDM-HOST-ONE1-RESOLUTION-000742"	"MVDM-HOST-ONE1-000840"	"nt_fdisk_close"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|469|nt_fdisk_close"	"1"	"1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000079"	"MVDM-HOST-ONE1-BINDING-001211"	"MVDM-HOST-ONE1-RESOLUTION-000743"	"MVDM-HOST-ONE1-000841"	"nt_floppy_write"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|726|nt_floppy_write"	"4"	"4"	"4"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000080"	"MVDM-HOST-ONE1-BINDING-001212"	"MVDM-HOST-ONE1-RESOLUTION-000744"	"MVDM-HOST-ONE1-000842"	"nt_floppy_close"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|878|nt_floppy_close"	"1"	"1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000081"	"MVDM-HOST-ONE1-BINDING-001276"	"MVDM-HOST-ONE1-RESOLUTION-000774"	"MVDM-HOST-ONE1-000872"	"CreateFileOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|59|CreateFileOem"	"7"	"7;7"	"7"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000082"	"MVDM-HOST-ONE1-BINDING-001288"	"MVDM-HOST-ONE1-RESOLUTION-000779"	"MVDM-HOST-ONE1-000879"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DEVL"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000083"	"MVDM-HOST-ONE1-BINDING-001291"	"MVDM-HOST-ONE1-RESOLUTION-000781"	"MVDM-HOST-ONE1-000881"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DEVL"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000084"	"MVDM-HOST-ONE1-BINDING-001294"	"MVDM-HOST-ONE1-RESOLUTION-000784"	"MVDM-HOST-ONE1-000884"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DEVL"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000085"	"MVDM-HOST-ONE1-BINDING-001297"	"MVDM-HOST-ONE1-RESOLUTION-000786"	"MVDM-HOST-ONE1-000886"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DEVL"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000086"	"MVDM-HOST-ONE1-BINDING-001300"	"MVDM-HOST-ONE1-RESOLUTION-000788"	"MVDM-HOST-ONE1-000888"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DEVL"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000087"	"MVDM-HOST-ONE1-BINDING-001310"	"MVDM-HOST-ONE1-RESOLUTION-000795"	"MVDM-HOST-ONE1-000895"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000088"	"MVDM-HOST-ONE1-BINDING-001312"	"MVDM-HOST-ONE1-RESOLUTION-000798"	"MVDM-HOST-ONE1-000898"	"GetFullPathNameOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|494|GetFullPathNameOem"	"4"	"4;4"	"4"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000089"	"MVDM-HOST-ONE1-BINDING-001322"	"MVDM-HOST-ONE1-RESOLUTION-000802"	"MVDM-HOST-ONE1-000902"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DBG"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000090"	"MVDM-HOST-ONE1-BINDING-001323"	"MVDM-HOST-ONE1-RESOLUTION-000803"	"MVDM-HOST-ONE1-000903"	"HostFloppyReset"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|857|HostFloppyReset"	"0"	"0;0"	"0"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000091"	"MVDM-HOST-ONE1-BINDING-001324"	"MVDM-HOST-ONE1-RESOLUTION-000804"	"MVDM-HOST-ONE1-000904"	"HostFdiskReset"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|589|HostFdiskReset"	"0"	"0;0"	"0"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000092"	"MVDM-HOST-ONE1-BINDING-001327"	"MVDM-HOST-ONE1-RESOLUTION-000806"	"MVDM-HOST-ONE1-000907"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DBG"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000093"	"MVDM-HOST-ONE1-BINDING-001437"	"MVDM-HOST-ONE1-RESOLUTION-000900"	"MVDM-HOST-ONE1-001002"	"setSS_BASE_LIMIT_AR"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_aorc.c|7816128fbd968703f2f7b478b0992902f522f9c6853ca166eb69a904cd965061|546|setSS_BASE_LIMIT_AR"	"3"	"3;3"	"3"	"ifndef:i386"	"ifdef:CCPU"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000094"	"MVDM-HOST-ONE1-BINDING-001438"	"MVDM-HOST-ONE1-RESOLUTION-000901"	"MVDM-HOST-ONE1-001003"	"getSS_BASE"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_aorc.c|7816128fbd968703f2f7b478b0992902f522f9c6853ca166eb69a904cd965061|534|getSS_BASE"	"0"	"0;0"	"0"	"ifndef:i386"	"ifdef:CCPU"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000095"	"MVDM-HOST-ONE1-BINDING-001439"	"MVDM-HOST-ONE1-RESOLUTION-000902"	"MVDM-HOST-ONE1-001004"	"getSS_AR"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_aorc.c|7816128fbd968703f2f7b478b0992902f522f9c6853ca166eb69a904cd965061|540|getSS_AR"	"0"	"0;0"	"0"	"ifndef:i386"	"ifdef:CCPU"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000096"	"MVDM-HOST-ONE1-BINDING-001465"	"MVDM-HOST-ONE1-RESOLUTION-000937"	"MVDM-HOST-ONE1-001040"	"LocalAlloc"	"O:\repos.external\OpenNT|base/win32/client/lmem.c|8eda46f74c7591746be70467959400fab803285cacdc0e466a2b02a191a969a3|39|LocalAlloc"	"2"	"2"	"2"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000097"	"MVDM-HOST-ONE1-BINDING-001490"	"MVDM-HOST-ONE1-RESOLUTION-000970"	"MVDM-HOST-ONE1-001073"	"GetFaxDataMapName"	"O:\repos.external\OpenNT|base/mvdm/inc/wowfax.h|97c6c40dc2d0565a21dc1be4112fe24f138b10ddbb55fbd29e55da972a2a2c84|284|GetFaxDataMapName"	"2"	"2;2;2;2"	"2"	"unconditional"	"ifdef:WOWFAX_INC_COMMON_CODE"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000098"	"MVDM-HOST-ONE1-BINDING-001517"	"MVDM-HOST-ONE1-RESOLUTION-000991"	"MVDM-HOST-ONE1-001094"	"LocalAlloc"	"O:\repos.external\OpenNT|base/win32/client/lmem.c|8eda46f74c7591746be70467959400fab803285cacdc0e466a2b02a191a969a3|39|LocalAlloc"	"2"	"2"	"2"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000099"	"MVDM-HOST-ONE1-BINDING-001521"	"MVDM-HOST-ONE1-RESOLUTION-000996"	"MVDM-HOST-ONE1-001099"	"LocalAlloc"	"O:\repos.external\OpenNT|base/win32/client/lmem.c|8eda46f74c7591746be70467959400fab803285cacdc0e466a2b02a191a969a3|39|LocalAlloc"	"2"	"2"	"2"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000100"	"MVDM-HOST-ONE1-BINDING-001956"	"MVDM-HOST-ONE1-RESOLUTION-001208"	"MVDM-HOST-ONE1-001352"	"com_int_data"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|2745|com_int_data"	"3"	"3;3"	"3"	"unconditional"	"ifdef:NTVDM"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000101"	"MVDM-HOST-ONE1-BINDING-001960"	"MVDM-HOST-ONE1-RESOLUTION-001221"	"MVDM-HOST-ONE1-001365"	"SyncBaseLineSettings"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|2698|SyncBaseLineSettings"	"3"	"3;3"	"3"	"unconditional"	"ifdef:NTVDM"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000102"	"MVDM-HOST-ONE1-BINDING-001975"	"MVDM-HOST-ONE1-RESOLUTION-001236"	"MVDM-HOST-ONE1-001380"	"setup_RTSDTR"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|2715|setup_RTSDTR"	"1"	"1;1"	"1"	"unconditional"	"ifdef:NTVDM"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000103"	"MVDM-HOST-ONE1-BINDING-002018"	"MVDM-HOST-ONE1-RESOLUTION-001259"	"MVDM-HOST-ONE1-001403"	"com_lsr_change"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|1692|com_lsr_change"	"1"	"1;1"	"1"	"unconditional"	"ifdef:NTVDM"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000104"	"MVDM-HOST-ONE1-BINDING-002019"	"MVDM-HOST-ONE1-RESOLUTION-001265"	"MVDM-HOST-ONE1-001409"	"tx_holding_register_empty"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|1874|tx_holding_register_empty"	"1"	"1;1"	"1"	"unconditional"	"ifdef:NTVDM"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000105"	"MVDM-HOST-ONE1-BINDING-002020"	"MVDM-HOST-ONE1-RESOLUTION-001266"	"MVDM-HOST-ONE1-001410"	"tx_shift_register_empty"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|1869|tx_shift_register_empty"	"1"	"1;1"	"1"	"unconditional"	"ifdef:NTVDM"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000106"	"MVDM-HOST-ONE1-BINDING-002033"	"MVDM-HOST-ONE1-RESOLUTION-001273"	"MVDM-HOST-ONE1-001417"	"tx_shift_register_empty"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|1869|tx_shift_register_empty"	"1"	"1;1"	"1"	"unconditional"	"ifdef:NTVDM"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000107"	"MVDM-HOST-ONE1-BINDING-002048"	"MVDM-HOST-ONE1-RESOLUTION-001314"	"MVDM-HOST-ONE1-001458"	"com_int_data"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|2745|com_int_data"	"3"	"3;3"	"3"	"unconditional"	"ifdef:NTVDM"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000108"	"MVDM-HOST-ONE1-BINDING-002067"	"MVDM-HOST-ONE1-RESOLUTION-001328"	"MVDM-HOST-ONE1-001472"	"VdmUnhandledExceptionFilter"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_timer.c|10ea0d5a6de6466e7e9af8efd89c3a77a78077cd38e05332a416a404b655ab33|964|VdmUnhandledExceptionFilter"	"1"	"1;1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000109"	"MVDM-HOST-ONE1-BINDING-002078"	"MVDM-HOST-ONE1-RESOLUTION-001336"	"MVDM-HOST-ONE1-001480"	"com_lsr_change"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|1692|com_lsr_change"	"1"	"1;1"	"1"	"unconditional"	"ifdef:NTVDM"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000110"	"MVDM-HOST-ONE1-BINDING-002102"	"MVDM-HOST-ONE1-RESOLUTION-001353"	"MVDM-HOST-ONE1-001497"	"tx_shift_register_empty"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|1869|tx_shift_register_empty"	"1"	"1;1"	"1"	"unconditional"	"ifdef:NTVDM"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000111"	"MVDM-HOST-ONE1-BINDING-002115"	"MVDM-HOST-ONE1-RESOLUTION-001362"	"MVDM-HOST-ONE1-001506"	"com_lsr_change"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|1692|com_lsr_change"	"1"	"1;1"	"1"	"unconditional"	"ifdef:NTVDM"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000112"	"MVDM-HOST-ONE1-BINDING-002120"	"MVDM-HOST-ONE1-RESOLUTION-001368"	"MVDM-HOST-ONE1-001512"	"com_lsr_change"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|1692|com_lsr_change"	"1"	"1;1"	"1"	"unconditional"	"ifdef:NTVDM"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000113"	"MVDM-HOST-ONE1-BINDING-002125"	"MVDM-HOST-ONE1-RESOLUTION-001375"	"MVDM-HOST-ONE1-001519"	"com_lsr_change"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/base/comms/com.c|64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3|1692|com_lsr_change"	"1"	"1;1"	"1"	"unconditional"	"ifdef:NTVDM"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000114"	"MVDM-HOST-ONE1-BINDING-002155"	"MVDM-HOST-ONE1-RESOLUTION-001406"	"MVDM-HOST-ONE1-001550"	"host_GetSysTime"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_timer.c|10ea0d5a6de6466e7e9af8efd89c3a77a78077cd38e05332a416a404b655ab33|514|host_GetSysTime"	"1"	"1;1;1;1"	"1"	"ifdef:LIM > ifndef:MONITOR"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
