"work_item_id"	"source_path"	"source_owner"	"final_disposition"	"implementation_group"	"final_owner_or_link_boundary"	"named_adapter"	"mapping_implication"	"final_evidence"	"admission_state"
"T280-MVDM-FILE-1253"	"softpc.new/host/src/nt_mouse.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"	"adapter-win32; adapter-wow where reached; adapter-bochs; session host-resource mapping manager"	"host handles/resources remain opaque session host-resource identities; Bochs receives only typed endpoint/device operations"	"T276 S12 device-bridge baseline: original host endpoint/provider body with named public capability and Bochs profile boundary"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1254"	"softpc.new/host/src/nt_msscs.c"	"original SoftPC host-control package"	"adapter-backed"	"04-session-event-stop"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1255"	"softpc.new/host/src/nt_munge.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original SoftPC native device/executor evidence; Bochs is the sole final video, FDC/DMA, PIT/PIC or PPI/sound owner"	"none"	"no MVDM identity mapping is permitted into a parallel machine implementation"	"T276 S12 device-bridge baseline: original device execution is a Bochs-replacement exclusion"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1256"	"softpc.new/host/src/nt_nls.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1257"	"softpc.new/host/src/nt_ntfun.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1258"	"softpc.new/host/src/nt_pif.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1259"	"softpc.new/host/src/nt_reset.c"	"original SoftPC host-control package"	"adapter-backed"	"04-session-event-stop"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1260"	"softpc.new/host/src/nt_rez.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"	"adapter-win32; adapter-wow where reached; adapter-bochs; session host-resource mapping manager"	"host handles/resources remain opaque session host-resource identities; Bochs receives only typed endpoint/device operations"	"T276 S12 device-bridge baseline: original host endpoint/provider body with named public capability and Bochs profile boundary"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1261"	"softpc.new/host/src/nt_rflop.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original SoftPC native device/executor evidence; Bochs is the sole final video, FDC/DMA, PIT/PIC or PPI/sound owner"	"none"	"no MVDM identity mapping is permitted into a parallel machine implementation"	"T276 S12 device-bridge baseline: original device execution is a Bochs-replacement exclusion"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1262"	"softpc.new/host/src/nt_sas.c"	"original SoftPC host-control package"	"adapter-backed"	"02-softpc-machine-facade"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1263"	"softpc.new/host/src/nt_sec.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1264"	"softpc.new/host/src/nt_smenu.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1265"	"softpc.new/host/src/nt_sound.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original SoftPC native device/executor evidence; Bochs is the sole final video, FDC/DMA, PIT/PIC or PPI/sound owner"	"none"	"no MVDM identity mapping is permitted into a parallel machine implementation"	"T276 S12 device-bridge baseline: original device execution is a Bochs-replacement exclusion"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1266"	"softpc.new/host/src/nt_term.c"	"original SoftPC host-control package"	"adapter-backed"	"04-session-event-stop"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1267"	"softpc.new/host/src/nt_thred.c"	"original SoftPC host-control package"	"adapter-backed"	"04-session-event-stop"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1268"	"softpc.new/host/src/nt_timer.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original SoftPC native device/executor evidence; Bochs is the sole final video, FDC/DMA, PIT/PIC or PPI/sound owner"	"none"	"no MVDM identity mapping is permitted into a parallel machine implementation"	"T276 S12 device-bridge baseline: original device execution is a Bochs-replacement exclusion"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1269"	"softpc.new/host/src/nt_umb.c"	"original SoftPC host-control package"	"overlay-required"	"05-machine-transport-overlay"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"	"adapter-softpc; adapter-bochs; session guest-memory and host-resource mapping managers; adapter-vdm-monitor where reached"	"all historical 32-bit pointer-shaped values resolve via checked session mappings and typed machine requests; raw host addresses cannot enter the mirror body"	"T276 S12 SoftPC/SAS facade baseline: original useful control algorithm mixed with non-reusable executor or direct-address transport"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1270"	"softpc.new/host/src/nt_unix.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1271"	"softpc.new/host/src/nt_vdd.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1272"	"softpc.new/host/src/nt_vflop.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original alternate CPU, historical profile, virtual-FDC or debugger/product-shell evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S12 source-span review: no final profile may reintroduce this second executor or unsupported historical product shell"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1273"	"softpc.new/host/src/nt_vga.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original SoftPC native device/executor evidence; Bochs is the sole final video, FDC/DMA, PIT/PIC or PPI/sound owner"	"none"	"no MVDM identity mapping is permitted into a parallel machine implementation"	"T276 S12 device-bridge baseline: original device execution is a Bochs-replacement exclusion"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1274"	"softpc.new/host/src/nt_wcom.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"	"adapter-win32; adapter-wow where reached; adapter-bochs; session host-resource mapping manager"	"host handles/resources remain opaque session host-resource identities; Bochs receives only typed endpoint/device operations"	"T276 S12 device-bridge baseline: original host endpoint/provider body with named public capability and Bochs profile boundary"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1275"	"softpc.new/host/src/nt_yoda.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1276"	"softpc.new/host/src/sim32.c"	"original SoftPC host-control package"	"overlay-required"	"05-machine-transport-overlay"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"	"adapter-softpc; adapter-bochs; session guest-memory and host-resource mapping managers; adapter-vdm-monitor where reached"	"all historical 32-bit pointer-shaped values resolve via checked session mappings and typed machine requests; raw host addresses cannot enter the mirror body"	"T276 S12 SoftPC/SAS facade baseline: original useful control algorithm mixed with non-reusable executor or direct-address transport"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1277"	"softpc.new/host/src/sources"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original standalone SoftPC/NTVDM product build, resource or launch metadata; app owns the final product composition"	"none"	"no runtime mapping implication"	"T276 S12 original SoftPC host/app build-control evidence; no final host link input"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1278"	"softpc.new/host/src/stf_conf.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1279"	"softpc.new/host/src/stubs.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original alternate CPU, historical profile, virtual-FDC or debugger/product-shell evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S12 source-span review: no final profile may reintroduce this second executor or unsupported historical product shell"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1280"	"softpc.new/host/src/x86_emm.c"	"original SoftPC host-control package"	"overlay-required"	"05-machine-transport-overlay"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"	"adapter-softpc; adapter-bochs; session guest-memory and host-resource mapping managers; adapter-vdm-monitor where reached"	"all historical 32-bit pointer-shaped values resolve via checked session mappings and typed machine requests; raw host addresses cannot enter the mirror body"	"T276 S12 SoftPC/SAS facade baseline: original useful control algorithm mixed with non-reusable executor or direct-address transport"	"S1-inherited-disposition; implementation-not-enabled"
