ledger0_identity	mvdm_host_subtree	zero_identity	membership_origin	source_root	source_path	source_sha256	source_line	symbol	linkage	inbound_evidence	body_parse_result	condition_context	condition_evidence	legality	reason	softpc_file_disposition	ledger1_disposition	replacement_owner	final_disposition_evidence
"MVDM-HOST-ZERO-001978"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1251"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1251"	"setCpuState"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001979"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1256"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1256"	"initNanoCpu"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001980"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1261"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1261"	"prepareBlocksToCompile"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001981"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1266"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1266"	"setRegConstraint"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001982"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1271"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1271"	"growRecPool"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001983"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1276"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1276"	"BpiCompileBPI"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001984"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1281"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1281"	"trashIntelregisters"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001985"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1286"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1286"	"FmDeleteAllStructures"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001986"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1291"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1291"	"constraintsFromUnivEpcPtr"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001987"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1298"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1298"	"constraintsFromUnivHandle"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001988"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1305"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1305"	"sas_memory_size"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001989"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1312"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1312"	"sas_connect_memory"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001990"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1317"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1317"	"sas_enable_20_bit_wrapping"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001991"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1322"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1322"	"sas_disable_20_bit_wrapping"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001992"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1327"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1327"	"sas_twenty_bit_wrapping_enabled"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001993"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1334"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1334"	"sas_memory_type"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001994"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1341"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1341"	"sas_hw_at"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001995"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1348"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1348"	"sas_w_at"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001996"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1355"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1355"	"sas_dw_at"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001997"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1362"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1362"	"sas_hw_at_no_check"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001998"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1369"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1369"	"sas_w_at_no_check"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-001999"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1376"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1376"	"sas_dw_at_no_check"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-002000"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1383"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1383"	"sas_store"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-002001"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1388"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1388"	"sas_storew"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-002002"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1393"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1393"	"sas_storedw"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-002003"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1398"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1398"	"sas_store_no_check"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-002004"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1403"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1403"	"sas_storew_no_check"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-002005"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1408"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1408"	"sas_storedw_no_check"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-002006"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1413"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1413"	"sas_loads"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-002007"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1418"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1418"	"sas_stores"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-002008"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1423"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1423"	"sas_loads_no_check"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-002009"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1428"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1428"	"sas_stores_no_check"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-002010"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/cvidc/accessfn.c|326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37|1433"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/cvidc/accessfn.c"	"326046c10f56b4da4eb4d7fe8b7e2052a46955a229cd94f717ab3ff6b52a1a37"	"1433"	"sas_move_bytes_forward"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
