"caller_build_path"	"source_line"	"build_text"	"edge_kind"	"stage1_state"	"first_hop_owners"	"first_hop_kind"
"softpc.new/obj.vdm/sources"	"110"	"$(SOFTPC_TREE)\base\dasm386\obj\*\DASM386.LIB   \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"111"	"$(SOFTPC_TREE)\base\support\obj\*\SUPPORT.LIB   \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"112"	"$(SOFTPC_TREE)\base\disks\obj\*\DISKS.LIB     \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"113"	"$(SOFTPC_TREE)\base\keymouse\obj\*\KEYMOUSE.LIB \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"114"	"$(CPULIBS) \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"115"	"$(BASEDIR)\public\sdk\lib\*\dbg.lib         \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"116"	"$(BASEDIR)\public\sdk\lib\*\dem.lib         \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"117"	"$(BASEDIR)\public\sdk\lib\*\suballoc.lib    \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"118"	"$(BASEDIR)\public\sdk\lib\*\command.lib  \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"119"	"$(BASEDIR)\public\sdk\lib\*\dpmi32.lib   \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"120"	"$(BASEDIR)\public\sdk\lib\*\xms486.lib       \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"121"	"$(BASEDIR)\public\sdk\lib\*\oemuni.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"133"	"CPULIBS=$(SOFTPC_TREE)\*\libs\a4$(PD).lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"135"	"CPULIBS=$(SOFTPC_TREE)\obj.vdm\obj\*\ccpu486.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/rename/sources"	"42"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/rename/sources"	"46"	"LINKLIBS= $(BASEDIR)\public\sdk\lib\*\setargv.obj"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/rename/sources"	"55"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"v86/monitor/sources"	"32"	"TARGETPATH=\nt\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"v86/monitor/sources"	"37"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"v86/monitor/sources"	"40"	"INCLUDES=..\..\inc;..\..\softpc.new\base\inc;..\..\softpc.new\host\inc;..\..\..\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"55"	"TARGETPATH=\nt\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"63"	"# The TARGETLIBS specifies additional libraries to link with you target"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"73"	"TARGETLIBS=\nt\public\sdk\lib\*\monitor.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"74"	"\nt\public\sdk\lib\*\xms.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"75"	"\nt\public\sdk\lib\*\dbg.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"76"	"\nt\public\sdk\lib\*\dem.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"77"	"\nt\public\sdk\lib\*\command.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"85"	"TARGETLIBS=\nt\public\sdk\lib\*\monitor.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"86"	"\nt\public\sdk\lib\*\dem.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"87"	"\nt\public\sdk\lib\*\xms.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"88"	"\nt\public\sdk\lib\*\dbg.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"89"	"\nt\public\sdk\lib\*\command.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"92"	"\nt\public\sdk\lib\*\netapi32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"v86/scaffold/sources"	"93"	"\nt\public\sdk\lib\*\xactsrv.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"ds/netapi/xactsrv"	"external-package-candidate"
"v86/scaffold/sources"	"94"	"$(BASEDIR)\Public\SDK\Lib\*\rxcommon.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"ds/netapi/rpcxlate/rxcommon"	"external-package-candidate"
"v86/scaffold/sources"	"95"	"$(NTVDM_NET_PATH)\netlib\obj\*\netlib.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"ds/netapi/netlib"	"external-package-candidate"
"v86/scaffold/sources"	"97"	"\nt\public\sdk\lib\*\gdi32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"v86/scaffold/sources"	"101"	"# The INCLUDES variable specifies any include paths that are specific to"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"106"	"INCLUDES=..\..\inc;..\..\..\windows\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"v86/scaffold/sources"	"144"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"v86/util/makefile"	"23"	"PATH    = $(_NTBINDIR)\private\mvdm\tools16;$(PATH)"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/dirs"	"19"	"NOTE:   Commented description of this file is in \nt\public\oak\bin\dirs.tpl"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/dirs"	"19"	"NOTE:   Commented description of this file is in \nt\public\oak\bin\dirs.tpl"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/adlibvdd/sources"	"15"	"TARGETLIBS=$(BASEDIR)\public\sdk\lib\*\kernel32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdd/samples/adlibvdd/sources"	"16"	"$(BASEDIR)\public\sdk\lib\*\ntvdm.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"vdd/samples/hpscan/makefile"	"12"	"PATH    = $(_NTBINDIR)\private\mvdm\tools16;$(PATH)"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/hpscan/makefile"	"21"	"ainc    =-I. -I$(_NTBINDIR)\public\sdk\inc"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/mscdex/dirs"	"19"	"NOTE:   Commented description of this file is in \nt\public\oak\bin\dirs.tpl"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/mscdex/tsr/makefile"	"10"	"PATH    = $(_NTBINDIR)\private\mvdm\tools16;$(PATH)"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/mscdex/tsr/makefile"	"19"	"ainc    =-I. -I$(_NTBINDIR)\public\sdk\inc"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/mscdex/vdd/sources"	"9"	"TARGETLIBS=$(_NTDRIVE)\nt\public\sdk\lib\*\kernel32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdd/samples/mscdex/vdd/sources"	"10"	"$(_NTDRIVE)\nt\public\sdk\lib\*\user32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdd/samples/mscdex/vdd/sources"	"11"	"$(_NTDRIVE)\nt\public\sdk\lib\*\ntvdm.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"vdd/samples/mscdex/vdd/sources"	"25"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/sample1/fax16/makefile"	"12"	"PATH    = $(_NTBINDIR)\private\mvdm\tools16;$(PATH)"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/sample1/fax16/makefile"	"21"	"ainc	=-I. -I$(_NTBINDIR)\public\sdk\inc"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/sample1/fax32/sources"	"7"	"TARGETPATH=$(BASEDIR)\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/sample1/fax32/sources"	"9"	"TARGETLIBS=$(BASEDIR)\public\sdk\lib\*\kernel32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdd/samples/sample1/fax32/sources"	"10"	"$(BASEDIR)\public\sdk\lib\*\ntvdm.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"vdd/samples/sample1/fax32/sources"	"21"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/sample2/16bits/makefile"	"9"	"PATH    = $(_NTBINDIR)\private\mvdm\tools16;$(PATH)"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/sample2/vdd/sources"	"7"	"TARGETPATH=$(BASEDIR)\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/sample2/vdd/sources"	"9"	"TARGETLIBS=$(BASEDIR)\public\sdk\lib\*\kernel32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdd/samples/sample2/vdd/sources"	"10"	"$(BASEDIR)\public\sdk\lib\*\ntvdm.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"vdd/samples/sample2/vdd/sources"	"15"	"INCLUDES=."	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/sample2/vdd/sources"	"23"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdd/samples/vsbd/sources"	"15"	"TARGETLIBS=$(BASEDIR)\public\sdk\lib\*\kernel32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdd/samples/vsbd/sources"	"16"	"$(BASEDIR)\public\sdk\lib\*\winmm.lib    \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdd/samples/vsbd/sources"	"17"	"$(BASEDIR)\public\sdk\lib\*\ntvdm.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"vdmdbg/sources"	"28"	"TARGETPATH=\nt\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdmdbg/sources"	"34"	"# The TARGETLIBS specifies additional libraries to link with you target"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdmdbg/sources"	"39"	"TARGETLIBS=$(BASEDIR)\public\sdk\lib\*\kernel32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdmdbg/sources"	"40"	"$(BASEDIR)\public\sdk\lib\*\advapi32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdmdbg/sources"	"41"	"$(BASEDIR)\public\sdk\lib\*\user32.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdmdbg/sources"	"44"	"# The INCLUDES variable specifies any include paths that are specific to"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdmdbg/sources"	"49"	"INCLUDES=..\inc;..\..\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdmexts/sources"	"34"	"TARGETLIBS=$(BASEDIR)\public\sdk\lib\*\kernel32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdmexts/sources"	"35"	"$(BASEDIR)\public\sdk\lib\*\user32.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdmexts/sources"	"37"	"INCLUDES=..\inc;..\..\inc;..\..\windows\inc;..\wow32"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdmredir/sources"	"23"	"NOTE:   Commented description of this file is in \nt\public\oak\bin\sources.tpl"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdmredir/sources"	"40"	"TARGETPATH=$(BASEDIR)\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"vdmredir/sources"	"42"	"TARGETLIBS=$(BASEDIR)\public\sdk\lib\*\advapi32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdmredir/sources"	"43"	"$(BASEDIR)\public\sdk\lib\*\kernel32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdmredir/sources"	"44"	"$(BASEDIR)\public\sdk\lib\*\crtdll.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"MSVC CRT"	"selected-MVDM-or-CRT"
"vdmredir/sources"	"45"	"$(BASEDIR)\public\sdk\lib\*\netapi32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdmredir/sources"	"46"	"$(BASEDIR)\public\sdk\lib\*\ntvdm.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"vdmredir/sources"	"47"	"$(BASEDIR)\public\sdk\lib\*\xactsrv.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"ds/netapi/xactsrv"	"external-package-candidate"
"vdmredir/sources"	"48"	"$(BASEDIR)\public\sdk\lib\*\netlib.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"ds/netapi/netlib"	"external-package-candidate"
"vdmredir/sources"	"49"	"$(BASEDIR)\public\sdk\lib\*\netrap.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"ds/netapi/rap"	"external-package-candidate"
"vdmredir/sources"	"50"	"$(BASEDIR)\public\sdk\lib\*\rpcrt4.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"vdmredir/sources"	"51"	"$(BASEDIR)\Public\SDK\Lib\*\rxcommon.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"ds/netapi/rpcxlate/rxcommon"	"external-package-candidate"
"vdmredir/sources"	"52"	"$(BASEDIR)\Public\SDK\Lib\*\rxapi.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"ds/netapi/rpcxlate/rxapi"	"external-package-candidate"
"vdmredir/sources"	"59"	"INCLUDES=..\inc;..\..\inc;..\..\net\rpcxlate;..\..\net\inc;..\softpc.new\base\inc;..\softpc.new\host\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"wow32/sources"	"13"	"TARGETPATH=$(BASEDIR)\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"wow32/sources"	"14"	"TARGETLIBS=$(BASEDIR)\public\sdk\lib\*\kernel32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"wow32/sources"	"15"	"$(BASEDIR)\public\sdk\lib\*\gdi32p.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"windows/core/ntgdi/client"	"external-package-candidate"
"wow32/sources"	"16"	"$(BASEDIR)\public\sdk\lib\*\user32p.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"windows/core/ntuser/client"	"external-package-candidate"
"wow32/sources"	"17"	"$(BASEDIR)\public\sdk\lib\*\advapi32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"wow32/sources"	"18"	"$(BASEDIR)\public\sdk\lib\*\shell32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"wow32/sources"	"19"	"$(BASEDIR)\public\sdk\lib\*\ntvdm.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"wow32/sources"	"20"	"$(BASEDIR)\public\sdk\lib\*\oemuni.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"wow32/sources"	"21"	"$(BASEDIR)\public\sdk\lib\*\comdlg32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"wow32/sources"	"22"	"$(BASEDIR)\public\sdk\lib\*\version.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"wow32/sources"	"33"	"INCLUDES=..\inc;..\..\windows\inc;..\..\inc;..\vdd\h; \"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"wow32/sources"	"34"	"$(BASEDIR)\private\ntos\w32\ntgdi\inc"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"wow32/sources"	"148"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"xms.486/sources"	"22"	"NOTE:   Commented description of this file is in \nt\public\oak\bin\sources.tpl"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"xms.486/sources"	"30"	"TARGETPATH=\nt\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"xms.486/sources"	"32"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"xms.486/sources"	"34"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"xms.486/sources"	"36"	"INCLUDES=..\inc;$(SOFTPC_TREE)\base\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"xms.486/sources"	"58"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
